# 005930.KS | Yahoo Finance（握手客戶端 yfinance） | fetched 2026-08-30
date,value
2016-08-29,32800.0
2016-08-30,32900.0
2016-08-31,32400.0
2016-09-01,31740.0
2016-09-02,31940.0
2016-09-05,32120.0
2016-09-06,32860.0
2016-09-07,32420.0
2016-09-08,32780.0
2016-09-09,31500.0
2016-09-12,29300.0
2016-09-13,30540.0
2016-09-19,31160.0
2016-09-20,31700.0
2016-09-21,31840.0
2016-09-22,32360.0
2016-09-23,31420.0
2016-09-26,31360.0
2016-09-27,31380.0
2016-09-28,31340.0
2016-09-29,32000.0
2016-09-30,31960.0
2016-10-04,32280.0
2016-10-05,32380.0
2016-10-06,33820.0
2016-10-07,34120.0
2016-10-10,33600.0
2016-10-11,30900.0
2016-10-12,30700.0
2016-10-13,31140.0
2016-10-14,31540.0
2016-10-17,31800.0
2016-10-18,31780.0
2016-10-19,32500.0
2016-10-20,32400.0
2016-10-21,31780.0
2016-10-24,32160.0
2016-10-25,31940.0
2016-10-26,31340.0
2016-10-27,31460.0
2016-10-28,32280.0
2016-10-31,32780.0
2016-11-01,33040.0
2016-11-02,32860.0
2016-11-03,32320.0
2016-11-04,32540.0
2016-11-07,32800.0
2016-11-08,32880.0
2016-11-09,31920.0
2016-11-10,32980.0
2016-11-11,31960.0
2016-11-14,31060.0
2016-11-15,30780.0
2016-11-16,31160.0
2016-11-17,31360.0
2016-11-18,31720.0
2016-11-21,31860.0
2016-11-22,32800.0
2016-11-23,32980.0
2016-11-24,33000.0
2016-11-25,33000.0
2016-11-28,33540.0
2016-11-29,33540.0
2016-11-30,34920.0
2016-12-01,34980.0
2016-12-02,34540.0
2016-12-05,34360.0
2016-12-06,34960.0
2016-12-07,35440.0
2016-12-08,35800.0
2016-12-09,35600.0
2016-12-12,35040.0
2016-12-13,35320.0
2016-12-14,35540.0
2016-12-15,35180.0
2016-12-16,35860.0
2016-12-19,35900.0
2016-12-20,36240.0
2016-12-21,36100.0
2016-12-22,36180.0
2016-12-23,35640.0
2016-12-26,35960.0
2016-12-27,35980.0
2016-12-28,35760.0
2016-12-29,36040.0
2017-01-02,36100.0
2017-01-03,36480.0
2017-01-04,36160.0
2017-01-05,35560.0
2017-01-06,36200.0
2017-01-09,37220.0
2017-01-10,37240.0
2017-01-11,38280.0
2017-01-12,38800.0
2017-01-13,37460.0
2017-01-16,36660.0
2017-01-17,36960.0
2017-01-18,36940.0
2017-01-19,37480.0
2017-01-20,37200.0
2017-01-23,38060.0
2017-01-24,38160.0
2017-01-25,39400.0
2017-01-26,39900.0
2017-01-31,39460.0
2017-02-01,39120.0
2017-02-02,39360.0
2017-02-03,39460.0
2017-02-06,39560.0
2017-02-07,38820.0
2017-02-08,38400.0
2017-02-09,38400.0
2017-02-10,38360.0
2017-02-13,37960.0
2017-02-14,37580.0
2017-02-15,37720.0
2017-02-16,38020.0
2017-02-17,37860.0
2017-02-20,38660.0
2017-02-21,38940.0
2017-02-22,39300.0
2017-02-23,39180.0
2017-02-24,38220.0
2017-02-27,38060.0
2017-02-28,38440.0
2017-03-02,39720.0
2017-03-03,39620.0
2017-03-06,40080.0
2017-03-07,40200.0
2017-03-08,40200.0
2017-03-09,40200.0
2017-03-10,40180.0
2017-03-13,40600.0
2017-03-14,41360.0
2017-03-15,41400.0
2017-03-16,41840.0
2017-03-17,42400.0
2017-03-20,41900.0
2017-03-21,42560.0
2017-03-22,42460.0
2017-03-23,41800.0
2017-03-24,41500.0
2017-03-27,41200.0
2017-03-28,41480.0
2017-03-29,41780.0
2017-03-30,41980.0
2017-03-31,41200.0
2017-04-03,41440.0
2017-04-04,42080.0
2017-04-05,42140.0
2017-04-06,41840.0
2017-04-07,41600.0
2017-04-10,41940.0
2017-04-11,41600.0
2017-04-12,41900.0
2017-04-13,42420.0
2017-04-14,42020.0
2017-04-17,41560.0
2017-04-18,41500.0
2017-04-19,40900.0
2017-04-20,40280.0
2017-04-21,40760.0
2017-04-24,41240.0
2017-04-25,42700.0
2017-04-26,42800.0
2017-04-27,43840.0
2017-04-28,44620.0
2017-05-02,44900.0
2017-05-04,45520.0
2017-05-08,47020.0
2017-05-10,45600.0
2017-05-11,45500.0
2017-05-12,45820.0
2017-05-15,46100.0
2017-05-16,46380.0
2017-05-17,46340.0
2017-05-18,45940.0
2017-05-19,44720.0
2017-05-22,45100.0
2017-05-23,44920.0
2017-05-24,44880.0
2017-05-25,45680.0
2017-05-26,46080.0
2017-05-29,45620.0
2017-05-30,44640.0
2017-05-31,44700.0
2017-06-01,44680.0
2017-06-02,45960.0
2017-06-05,45940.0
2017-06-07,45300.0
2017-06-08,45160.0
2017-06-09,46100.0
2017-06-12,45380.0
2017-06-13,45400.0
2017-06-14,45360.0
2017-06-15,45680.0
2017-06-16,45580.0
2017-06-19,46560.0
2017-06-20,48140.0
2017-06-21,47480.0
2017-06-22,47960.0
2017-06-23,47620.0
2017-06-26,48280.0
2017-06-27,48300.0
2017-06-28,47700.0
2017-06-29,47940.0
2017-06-30,47540.0
2017-07-03,47220.0
2017-07-04,47000.0
2017-07-05,47580.0
2017-07-06,48060.0
2017-07-07,47860.0
2017-07-10,48660.0
2017-07-11,49000.0
2017-07-12,49880.0
2017-07-13,50560.0
2017-07-14,50480.0
2017-07-17,50640.0
2017-07-18,50840.0
2017-07-19,50740.0
2017-07-20,51200.0
2017-07-21,51080.0
2017-07-24,50860.0
2017-07-25,50000.0
2017-07-26,49840.0
2017-07-27,49800.0
2017-07-28,47760.0
2017-07-31,48200.0
2017-08-01,48600.0
2017-08-02,49000.0
2017-08-03,47780.0
2017-08-04,47700.0
2017-08-07,47580.0
2017-08-08,47720.0
2017-08-09,46280.0
2017-08-10,45900.0
2017-08-11,44620.0
2017-08-14,45000.0
2017-08-16,46200.0
2017-08-17,47040.0
2017-08-18,46900.0
2017-08-21,46840.0
2017-08-22,47000.0
2017-08-23,47480.0
2017-08-24,47520.0
2017-08-25,47020.0
2017-08-28,46100.0
2017-08-29,46080.0
2017-08-30,46200.0
2017-08-31,46320.0
2017-09-01,46480.0
2017-09-04,46040.0
2017-09-05,46760.0
2017-09-06,47000.0
2017-09-07,48120.0
2017-09-08,49080.0
2017-09-11,49800.0
2017-09-12,49600.0
2017-09-13,49620.0
2017-09-14,50300.0
2017-09-15,50400.0
2017-09-18,52480.0
2017-09-19,52120.0
2017-09-20,52220.0
2017-09-21,52800.0
2017-09-25,53620.0
2017-09-26,53620.0
2017-09-27,51680.0
