# 2344.TW | TWSE 個股 | fetched 2026-08-27
date,value
2024-09-02,23.7
2024-09-03,23.2
2024-09-04,22.1
2024-09-05,21.4
2024-09-06,21.4
2024-09-09,21.2
2024-09-10,20.45
2024-09-11,20.8
2024-09-12,21.05
2024-09-13,21.05
2024-09-16,21.05
2024-09-18,20.4
2024-09-19,20.4
2024-09-20,20.45
2024-09-23,20.65
2024-09-24,20.4
2024-09-25,20.75
2024-09-26,20.9
2024-09-27,21.45
2024-09-30,21.35
2024-10-01,21.0
2024-10-04,20.85
2024-10-07,20.7
2024-10-08,20.35
2024-10-09,20.25
2024-10-11,20.05
2024-10-14,20.1
2024-10-15,20.35
2024-10-16,20.0
2024-10-17,20.25
2024-10-18,20.1
2024-10-21,20.25
2024-10-22,20.2
2024-10-23,20.2
2024-10-24,19.95
2024-10-25,19.8
2024-10-28,19.75
2024-10-29,19.2
2024-10-30,19.25
2024-11-01,19.35
2024-11-04,19.2
2024-11-05,19.0
2024-11-06,18.9
2024-11-07,19.8
2024-11-08,19.5
2024-11-11,19.2
2024-11-12,18.7
2024-11-13,18.35
2024-11-14,17.7
2024-11-15,18.0
2024-11-18,17.8
2024-11-19,18.0
2024-11-20,17.8
2024-11-21,17.8
2024-11-22,18.05
2024-11-25,17.6
2024-11-26,17.45
2024-11-27,16.6
2024-11-28,16.05
2024-11-29,16.05
2024-12-02,15.85
2024-12-03,15.9
2024-12-04,16.0
2024-12-05,15.85
2024-12-06,16.15
2024-12-09,15.9
2024-12-10,15.8
2024-12-11,15.25
2024-12-12,15.1
2024-12-13,15.0
2024-12-16,14.45
2024-12-17,14.9
2024-12-18,15.6
2024-12-19,15.7
2024-12-20,15.0
2024-12-23,15.2
2024-12-24,15.6
2024-12-25,15.6
2024-12-26,15.45
2024-12-27,15.25
2024-12-30,15.0
2024-12-31,14.8
2025-01-02,14.5
2025-01-03,14.4
2025-01-06,14.8
2025-01-07,14.65
2025-01-08,14.5
2025-01-09,13.7
2025-01-10,13.8
2025-01-13,13.35
2025-01-14,13.55
2025-01-15,13.65
2025-01-16,14.0
2025-01-17,14.05
2025-01-20,14.1
2025-01-21,14.15
2025-01-22,14.35
2025-02-03,14.3
2025-02-04,14.05
2025-02-05,14.2
2025-02-06,14.5
2025-02-07,14.35
2025-02-10,14.25
2025-02-11,14.25
2025-02-12,14.55
2025-02-13,16.0
2025-02-14,17.15
2025-02-17,18.55
2025-02-18,18.75
2025-02-19,19.2
2025-02-20,18.95
