# 8035.T | Yahoo Finance（握手客戶端 yfinance） | fetched 2026-09-04
date,value
2016-08-29,3103.3333
2016-08-30,3113.3333
2016-08-31,3169.3333
2016-09-01,3149.3333
2016-09-02,3156.0
2016-09-05,3091.0
2016-09-06,3095.6667
2016-09-07,3099.3333
2016-09-08,3094.0
2016-09-09,3068.3333
2016-09-12,3023.6667
2016-09-13,3033.3333
2016-09-14,3041.0
2016-09-15,3029.3333
2016-09-16,3018.3333
2016-09-20,3058.0
2016-09-21,3026.0
2016-09-23,3062.0
2016-09-26,3010.6667
2016-09-27,3040.0
2016-09-28,3008.0
2016-09-29,3025.3333
2016-09-30,2959.0
2016-10-03,2966.0
2016-10-04,3069.6667
2016-10-05,3045.0
2016-10-06,3054.3333
2016-10-07,3072.3333
2016-10-11,3048.0
2016-10-12,2952.3333
2016-10-13,2961.3333
2016-10-14,2917.0
2016-10-17,2913.6667
2016-10-18,2922.6667
2016-10-19,2956.0
2016-10-20,2952.3333
2016-10-21,2961.0
2016-10-24,2937.6667
2016-10-25,2992.3333
2016-10-26,3010.3333
2016-10-27,2972.0
2016-10-28,3018.0
2016-10-31,3162.6667
2016-11-01,3250.3333
2016-11-02,3213.6667
2016-11-04,3191.6667
2016-11-07,3196.6667
2016-11-08,3194.3333
2016-11-09,3053.3333
2016-11-10,3262.3333
2016-11-11,3267.3333
2016-11-14,3351.6667
2016-11-15,3310.3333
2016-11-16,3324.0
2016-11-17,3311.3333
2016-11-18,3405.0
2016-11-21,3373.3333
2016-11-22,3366.6667
2016-11-24,3390.0
2016-11-25,3385.0
2016-11-28,3400.0
2016-11-29,3450.0
2016-11-30,3491.6667
2016-12-01,3495.0
2016-12-02,3341.6667
2016-12-05,3333.3333
2016-12-06,3317.6667
2016-12-07,3324.0
2016-12-08,3356.6667
2016-12-09,3401.6667
2016-12-12,3353.3333
2016-12-13,3391.6667
2016-12-14,3430.0
2016-12-15,3460.0
2016-12-16,3560.0
2016-12-19,3566.6667
2016-12-20,3646.6667
2016-12-21,3648.3333
2016-12-22,3650.0
2016-12-26,3686.6667
2016-12-27,3721.6667
2016-12-28,3753.3333
2016-12-29,3655.0
2016-12-30,3681.6667
2017-01-04,3753.3333
2017-01-05,3671.6667
2017-01-06,3650.0
2017-01-10,3708.3333
2017-01-11,3718.3333
2017-01-12,3750.0
2017-01-13,3758.3333
2017-01-16,3750.0
2017-01-17,3676.6667
2017-01-18,3695.0
2017-01-19,3736.6667
2017-01-20,3733.3333
2017-01-23,3720.0
2017-01-24,3691.6667
2017-01-25,3780.0
2017-01-26,3995.0
2017-01-27,3961.6667
2017-01-30,3968.3333
2017-01-31,3903.3333
2017-02-01,3850.0
2017-02-02,3813.3333
2017-02-03,3746.6667
2017-02-06,3715.0
2017-02-07,3763.3333
2017-02-08,3773.3333
2017-02-09,3733.3333
2017-02-10,3830.0
2017-02-13,3868.3333
2017-02-14,3886.6667
2017-02-15,3850.0
2017-02-16,3766.6667
2017-02-17,3741.6667
2017-02-20,3726.6667
2017-02-21,3723.3333
2017-02-22,3771.6667
2017-02-23,3785.0
2017-02-24,3755.0
2017-02-27,3725.0
2017-02-28,3736.6667
2017-03-01,3803.3333
2017-03-02,3911.6667
2017-03-03,3858.3333
2017-03-06,3821.6667
2017-03-07,3783.3333
2017-03-08,3771.6667
2017-03-09,3871.6667
2017-03-10,3970.0
2017-03-13,3916.6667
2017-03-14,3945.0
2017-03-15,3903.3333
2017-03-16,3908.3333
2017-03-17,3865.0
2017-03-21,3870.0
2017-03-22,3788.3333
2017-03-23,3793.3333
2017-03-24,3860.0
2017-03-27,3883.3333
2017-03-28,3996.6667
2017-03-29,4018.3333
2017-03-30,4061.6667
2017-03-31,4051.6667
2017-04-03,4148.3335
2017-04-04,4121.6665
2017-04-05,4100.0
2017-04-06,4046.6667
2017-04-07,4033.3333
2017-04-10,4135.0
2017-04-11,4061.6667
2017-04-12,3983.3333
2017-04-13,3920.0
2017-04-14,3871.6667
2017-04-17,3841.6667
2017-04-18,3855.0
2017-04-19,3906.6667
2017-04-20,3938.3333
2017-04-21,4100.0
2017-04-24,4141.6665
2017-04-25,4233.3335
2017-04-26,4340.0
2017-04-27,4338.3335
2017-04-28,4321.6665
2017-05-01,4898.3335
2017-05-02,4931.6665
2017-05-08,5031.6665
2017-05-09,4910.0
2017-05-10,4923.3335
2017-05-11,5038.3335
2017-05-12,5028.3335
2017-05-15,5010.0
2017-05-16,5098.3335
2017-05-17,5230.0
2017-05-18,5148.3335
2017-05-19,5256.6665
2017-05-22,5226.6665
2017-05-23,5118.3335
2017-05-24,5233.3335
2017-05-25,5313.3335
2017-05-26,5268.3335
2017-05-29,5271.6665
2017-05-30,5216.6665
2017-05-31,5230.0
2017-06-01,5458.3335
2017-06-02,5458.3335
2017-06-05,5585.0
2017-06-06,5563.3335
2017-06-07,5605.0
2017-06-08,5560.0
2017-06-09,5635.0
2017-06-12,5465.0
2017-06-13,5453.3335
2017-06-14,5388.3335
2017-06-15,5311.6665
2017-06-16,5255.0
2017-06-19,5341.6665
2017-06-20,5456.6665
2017-06-21,5405.0
2017-06-22,5375.0
2017-06-23,5323.3335
2017-06-26,5425.0
2017-06-27,5365.0
2017-06-28,5136.6665
2017-06-29,5100.0
2017-06-30,5053.3335
2017-07-03,5040.0
2017-07-04,4928.3335
2017-07-05,5055.0
2017-07-06,5013.3335
2017-07-07,5076.6665
2017-07-10,5193.3335
2017-07-11,5223.3335
2017-07-12,5208.3335
2017-07-13,5366.6665
2017-07-14,5296.6665
2017-07-17,5296.6665
2017-07-18,5346.6665
2017-07-19,5378.3335
2017-07-20,5465.0
2017-07-21,5480.0
2017-07-24,5426.6665
2017-07-25,5485.0
2017-07-26,5491.6665
2017-07-27,5638.3335
2017-07-28,5235.0
2017-07-31,5191.6665
2017-08-01,5061.6665
2017-08-02,5191.6665
2017-08-03,5068.3335
2017-08-04,4946.6665
2017-08-07,5010.0
2017-08-08,5031.6665
2017-08-09,4923.3335
2017-08-10,4951.6665
2017-08-11,4951.6665
2017-08-14,4965.0
2017-08-15,5060.0
2017-08-16,5001.6665
2017-08-17,5006.6665
2017-08-18,5050.0
2017-08-21,4968.3335
2017-08-22,5035.0
2017-08-23,5081.6665
2017-08-24,5026.6665
2017-08-25,5043.3335
2017-08-28,5023.3335
2017-08-29,5048.3335
2017-08-30,5056.6665
2017-08-31,5153.3335
2017-09-01,5163.3335
2017-09-04,5135.0
2017-09-05,5125.0
2017-09-06,5026.6665
2017-09-07,5078.3335
2017-09-08,5081.6665
2017-09-11,5138.3335
2017-09-12,5256.6665
2017-09-13,5270.0
2017-09-14,5406.6665
2017-09-15,5548.3335
2017-09-18,5548.3335
2017-09-19,5743.3335
2017-09-20,5736.6665
2017-09-21,5665.0
2017-09-22,5680.0
2017-09-25,5763.3335
2017-09-26,5608.3335
2017-09-27,5620.0
2017-09-28,5718.3335
2017-09-29,5760.0
2017-10-02,5810.0
2017-10-03,5808.3335
2017-10-04,5783.3335
2017-10-05,5760.0
2017-10-06,5675.0
2017-10-09,5675.0
2017-10-10,5783.3335
2017-10-11,5786.6665
2017-10-12,5900.0
2017-10-13,6000.0
2017-10-16,5986.6665
2017-10-17,6051.6665
2017-10-18,6071.6665
2017-10-19,6200.0
2017-10-20,6238.3335
2017-10-23,6393.3335
2017-10-24,6415.0
2017-10-25,6356.6665
2017-10-26,6416.6665
2017-10-27,6498.3335
2017-10-30,6543.3335
2017-10-31,6585.0
2017-11-01,7468.3335
2017-11-02,7511.6665
2017-11-03,7511.6665
2017-11-06,7438.3335
2017-11-07,7496.6665
2017-11-08,7545.0
2017-11-09,7656.6665
2017-11-10,7536.6665
2017-11-13,7428.3335
2017-11-14,7518.3335
2017-11-15,7510.0
2017-11-16,7646.6665
2017-11-17,7721.6665
2017-11-20,7570.0
2017-11-21,7591.6665
2017-11-22,7615.0
2017-11-23,7615.0
2017-11-24,7781.6665
2017-11-27,7643.3335
2017-11-28,7426.6665
2017-11-29,6998.3335
2017-11-30,6920.0
2017-12-01,6931.6665
2017-12-04,6900.0
2017-12-05,6705.0
2017-12-06,6680.0
2017-12-07,7006.6665
2017-12-08,7205.0
2017-12-11,7076.6665
2017-12-12,7068.3335
2017-12-13,6868.3335
2017-12-14,6891.6665
2017-12-15,6985.0
2017-12-18,7106.6665
2017-12-19,7091.6665
2017-12-20,7060.0
2017-12-21,7095.0
2017-12-22,6933.3335
2017-12-25,6933.3335
2017-12-26,6850.0
2017-12-27,6886.6665
2017-12-28,6853.3335
2017-12-29,6800.0
2018-01-01,6800.0
2018-01-02,6800.0
2018-01-03,6800.0
2018-01-04,7220.0
2018-01-05,7291.6665
2018-01-08,7291.6665
2018-01-09,7416.6665
2018-01-10,7290.0
2018-01-11,7288.3335
2018-01-12,7256.6665
2018-01-15,7231.6665
2018-01-16,7350.0
2018-01-17,7411.6665
2018-01-18,7616.6665
2018-01-19,7646.6665
2018-01-22,7595.0
2018-01-23,7641.6665
2018-01-24,7510.0
2018-01-25,7428.3335
2018-01-26,7275.0
2018-01-29,7370.0
2018-01-30,7158.3335
2018-01-31,6820.0
2018-02-01,6845.0
2018-02-02,6696.6665
2018-02-05,6565.0
2018-02-06,6261.6665
2018-02-07,6253.3335
2018-02-08,6340.0
2018-02-09,6156.6665
2018-02-12,6156.6665
2018-02-13,6136.6665
2018-02-14,6391.6665
2018-02-15,6686.6665
2018-02-16,6808.3335
2018-02-19,6885.0
2018-02-20,6753.3335
2018-02-21,6878.3335
2018-02-22,6816.6665
2018-02-23,6791.6665
2018-02-26,6883.3335
2018-02-27,7080.0
2018-02-28,7020.0
2018-03-01,6936.6665
2018-03-02,6820.0
2018-03-05,6718.3335
2018-03-06,6910.0
2018-03-07,6763.3335
2018-03-08,7091.6665
2018-03-09,7176.6665
2018-03-12,7401.6665
2018-03-13,7570.0
2018-03-14,7428.3335
2018-03-15,7398.3335
2018-03-16,7295.0
2018-03-19,7213.3335
2018-03-20,7130.0
2018-03-21,7130.0
2018-03-22,7115.0
2018-03-23,6708.3335
2018-03-26,6641.6665
2018-03-27,6833.3335
2018-03-28,6530.0
2018-03-29,6405.0
2018-03-30,6671.6665
2018-04-02,6721.6665
2018-04-03,6633.3335
2018-04-04,6451.6665
2018-04-05,6523.3335
2018-04-06,6533.3335
2018-04-09,6546.6665
2018-04-10,6713.3335
2018-04-11,6681.6665
2018-04-12,6621.6665
2018-04-13,6755.0
2018-04-16,6761.6665
2018-04-17,6761.6665
2018-04-18,6728.3335
2018-04-19,6673.3335
2018-04-20,6536.6665
2018-04-23,6550.0
2018-04-24,6605.0
2018-04-25,6471.6665
2018-04-26,7016.6665
2018-04-27,7018.3335
2018-04-30,7018.3335
2018-05-01,6926.6665
2018-05-02,6913.3335
2018-05-03,6913.3335
2018-05-04,6913.3335
2018-05-07,7005.0
2018-05-08,7018.3335
2018-05-09,7033.3335
2018-05-10,7081.6665
2018-05-11,7256.6665
2018-05-14,7230.0
2018-05-15,7216.6665
2018-05-16,7165.0
2018-05-17,7233.3335
2018-05-18,7093.3335
2018-05-21,6955.0
2018-05-22,6966.6665
2018-05-23,6990.0
2018-05-24,6990.0
2018-05-25,7110.0
2018-05-28,7135.0
2018-05-29,7058.3335
2018-05-30,6828.3335
2018-05-31,6800.0
2018-06-01,6795.0
2018-06-04,6955.0
2018-06-05,7041.6665
2018-06-06,6988.3335
2018-06-07,7050.0
2018-06-08,6903.3335
2018-06-11,6848.3335
2018-06-12,6795.0
2018-06-13,6803.3335
2018-06-14,6685.0
2018-06-15,6360.0
2018-06-18,6243.3335
2018-06-19,6185.0
2018-06-20,6326.6665
2018-06-21,6300.0
2018-06-22,6318.3335
2018-06-25,6211.6665
2018-06-26,6295.0
2018-06-27,6278.3335
2018-06-28,6333.3335
2018-06-29,6340.0
2018-07-02,6245.0
2018-07-03,6188.3335
2018-07-04,5913.3335
2018-07-05,5940.0
2018-07-06,6038.3335
2018-07-09,6156.6665
2018-07-10,6270.0
2018-07-11,6235.0
2018-07-12,6155.0
2018-07-13,6235.0
2018-07-16,6235.0
2018-07-17,6285.0
2018-07-18,6278.3335
2018-07-19,6443.3335
2018-07-20,6251.6665
2018-07-23,6215.0
2018-07-24,6263.3335
2018-07-25,6225.0
2018-07-26,6335.0
2018-07-27,6325.0
2018-07-30,6345.0
2018-07-31,6385.0
2018-08-01,6581.6665
2018-08-02,6586.6665
2018-08-03,6656.6665
2018-08-06,6528.3335
2018-08-07,6505.0
2018-08-08,6548.3335
2018-08-09,6483.3335
2018-08-10,6253.3335
2018-08-13,6061.6665
2018-08-14,6196.6665
2018-08-15,6166.6665
2018-08-16,6176.6665
2018-08-17,6091.6665
2018-08-20,6028.3335
2018-08-21,6086.6665
2018-08-22,6230.0
2018-08-23,6251.6665
2018-08-24,6255.0
2018-08-27,6381.6665
2018-08-28,6340.0
2018-08-29,6395.0
2018-08-30,6391.6665
2018-08-31,6291.6665
2018-09-03,6170.0
2018-09-04,6171.6665
2018-09-05,6070.0
2018-09-06,5995.0
2018-09-07,5638.3335
2018-09-10,5633.3335
2018-09-11,5698.3335
2018-09-12,5511.6665
2018-09-13,5346.6665
2018-09-14,5430.0
2018-09-17,5430.0
2018-09-18,5413.3335
2018-09-19,5456.6665
2018-09-20,5303.3335
2018-09-21,5310.0
2018-09-24,5310.0
2018-09-25,5438.3335
2018-09-26,5340.0
2018-09-27,5151.6665
2018-09-28,5203.3335
2018-10-01,5318.3335
2018-10-02,5283.3335
2018-10-03,5263.3335
2018-10-04,5203.3335
2018-10-05,5066.6665
2018-10-08,5066.6665
2018-10-09,4840.0
2018-10-10,4896.6665
2018-10-11,4706.6665
2018-10-12,4910.0
2018-10-15,4840.0
2018-10-16,4856.6665
2018-10-17,5003.3335
2018-10-18,4918.3335
2018-10-19,4995.0
2018-10-22,5103.3335
2018-10-23,4933.3335
2018-10-24,4881.6665
2018-10-25,4673.3335
2018-10-26,4693.3335
2018-10-29,4738.3335
2018-10-30,5048.3335
2018-10-31,5228.3335
2018-11-01,4900.0
2018-11-02,5236.6665
2018-11-05,5261.6665
2018-11-06,5201.6665
2018-11-07,5148.3335
2018-11-08,5171.6665
2018-11-09,5040.0
2018-11-12,5098.3335
2018-11-13,5006.6665
2018-11-14,5070.0
2018-11-15,5013.3335
2018-11-16,4800.0
2018-11-19,4973.3335
2018-11-20,4881.6665
2018-11-21,5118.3335
2018-11-22,5176.6665
2018-11-23,5176.6665
2018-11-26,5163.3335
2018-11-27,5256.6665
2018-11-28,5280.0
2018-11-29,5281.6665
2018-11-30,5291.6665
2018-12-03,5338.3335
2018-12-04,5200.0
2018-12-05,5106.6665
2018-12-06,4875.0
2018-12-07,4841.6665
2018-12-10,4688.3335
2018-12-11,4628.3335
2018-12-12,4693.3335
2018-12-13,4705.0
2018-12-14,4448.3335
2018-12-17,4528.3335
2018-12-18,4503.3335
2018-12-19,4305.0
2018-12-20,4120.0
2018-12-21,4190.0
2018-12-24,4190.0
2018-12-25,3911.6667
2018-12-26,4028.3333
2018-12-27,4156.6665
2018-12-28,4171.6665
2018-12-31,4171.6665
2019-01-04,3961.6667
2019-01-07,4213.3335
2019-01-08,4280.0
2019-01-09,4350.0
2019-01-10,4463.3335
2019-01-11,4508.3335
2019-01-15,4653.3335
2019-01-16,4636.6665
2019-01-17,4545.0
2019-01-18,4718.3335
2019-01-21,4838.3335
2019-01-22,4753.3335
2019-01-23,4696.6665
2019-01-24,4910.0
2019-01-25,5140.0
2019-01-28,5173.3335
2019-01-29,5048.3335
2019-01-30,5100.0
2019-01-31,5211.6665
2019-02-01,5135.0
2019-02-04,5243.3335
2019-02-05,5210.0
2019-02-06,5198.3335
2019-02-07,5286.6665
2019-02-08,5006.6665
2019-02-12,5226.6665
2019-02-13,5393.3335
2019-02-14,5371.6665
2019-02-15,5301.6665
2019-02-18,5298.3335
2019-02-19,5273.3335
2019-02-20,5221.6665
2019-02-21,5268.3335
2019-02-22,5163.3335
2019-02-25,5203.3335
2019-02-26,5160.0
2019-02-27,5130.0
2019-02-28,5050.0
2019-03-01,5128.3335
2019-03-04,5301.6665
2019-03-05,5178.3335
2019-03-06,5136.6665
2019-03-07,4985.0
2019-03-08,4803.3335
2019-03-11,4875.0
2019-03-12,5011.6665
2019-03-13,4913.3335
2019-03-14,4948.3335
2019-03-15,5073.3335
2019-03-18,5233.3335
2019-03-19,5191.6665
2019-03-20,5233.3335
2019-03-22,5505.0
2019-03-25,5391.6665
2019-03-26,5443.3335
2019-03-27,5416.6665
2019-03-28,5335.0
2019-03-29,5333.3335
2019-04-01,5456.6665
2019-04-02,5638.3335
2019-04-03,5790.0
2019-04-04,5836.6665
2019-04-05,5895.0
2019-04-08,5801.6665
2019-04-09,5838.3335
2019-04-10,5805.0
2019-04-11,5830.0
2019-04-12,5828.3335
2019-04-15,5855.0
2019-04-16,5870.0
2019-04-17,5916.6665
2019-04-18,5915.0
2019-04-19,6051.6665
2019-04-22,5981.6665
2019-04-23,5966.6665
2019-04-24,5891.6665
2019-04-25,5950.0
2019-04-26,5881.6665
2019-05-07,5731.6665
2019-05-08,5593.3335
2019-05-09,5593.3335
2019-05-10,5568.3335
2019-05-13,5423.3335
2019-05-14,5425.0
2019-05-15,5563.3335
2019-05-16,5385.0
2019-05-17,5408.3335
2019-05-20,5238.3335
2019-05-21,5140.0
2019-05-22,5095.0
2019-05-23,4970.0
2019-05-24,4846.6665
2019-05-27,4871.6665
2019-05-28,5003.3335
2019-05-29,4895.0
2019-05-30,5056.6665
2019-05-31,4930.0
2019-06-03,4828.3335
2019-06-04,4985.0
2019-06-05,5103.3335
2019-06-06,4988.3335
2019-06-07,5128.3335
2019-06-10,5198.3335
2019-06-11,5325.0
2019-06-12,5188.3335
2019-06-13,4970.0
2019-06-14,4876.6665
2019-06-17,4755.0
2019-06-18,4706.6665
2019-06-19,4903.3335
2019-06-20,4948.3335
2019-06-21,5020.0
2019-06-24,4936.6665
2019-06-25,4773.3335
2019-06-26,4880.0
2019-06-27,5025.0
2019-06-28,5040.0
2019-07-01,5280.0
2019-07-02,5436.6665
2019-07-03,5390.0
2019-07-04,5436.6665
2019-07-05,5593.3335
2019-07-08,5598.3335
2019-07-09,5480.0
2019-07-10,5468.3335
2019-07-11,5553.3335
2019-07-12,5543.3335
2019-07-16,5538.3335
2019-07-17,5525.0
2019-07-18,5500.0
2019-07-19,5691.6665
2019-07-22,5756.6665
2019-07-23,5931.6665
2019-07-24,5966.6665
2019-07-25,6183.3335
2019-07-26,6098.3335
2019-07-29,6050.0
2019-07-30,6233.3335
2019-07-31,6231.6665
2019-08-01,6193.3335
2019-08-02,6150.0
2019-08-05,6003.3335
2019-08-06,6066.6665
2019-08-07,6056.6665
2019-08-08,6123.3335
2019-08-09,6123.3335
2019-08-13,6086.6665
2019-08-14,6153.3335
2019-08-15,6145.0
2019-08-16,6266.6665
2019-08-19,6225.0
2019-08-20,6310.0
2019-08-21,6368.3335
2019-08-22,6433.3335
2019-08-23,6498.3335
2019-08-26,6305.0
2019-08-27,6370.0
2019-08-28,6285.0
2019-08-29,6226.6665
2019-08-30,6335.0
2019-09-02,6413.3335
2019-09-03,6338.3335
2019-09-04,6416.6665
2019-09-05,6683.3335
2019-09-06,6668.3335
2019-09-09,6795.0
2019-09-10,6791.6665
2019-09-11,6800.0
2019-09-12,6983.3335
2019-09-13,6975.0
2019-09-17,6971.6665
2019-09-18,6925.0
2019-09-19,6926.6665
2019-09-20,6923.3335
2019-09-24,7003.3335
2019-09-25,6983.3335
2019-09-26,7051.6665
2019-09-27,6918.3335
2019-09-30,6855.0
2019-10-01,7015.0
2019-10-02,6938.3335
2019-10-03,6951.6665
2019-10-04,7010.0
2019-10-07,6948.3335
2019-10-08,7043.3335
2019-10-09,7075.0
2019-10-10,7125.0
2019-10-11,7168.3335
2019-10-15,7268.3335
2019-10-16,7366.6665
2019-10-17,7321.6665
2019-10-18,7250.0
2019-10-21,7258.3335
2019-10-23,6960.0
2019-10-24,7111.6665
2019-10-25,7293.3335
2019-10-28,7505.0
2019-10-29,7500.0
2019-10-30,7326.6665
2019-10-31,7358.3335
2019-11-01,7415.0
2019-11-05,7401.6665
2019-11-06,7343.3335
2019-11-07,7386.6665
2019-11-08,7260.0
2019-11-11,7288.3335
2019-11-12,7358.3335
2019-11-13,7376.6665
2019-11-14,7413.3335
2019-11-15,7581.6665
2019-11-18,7720.0
2019-11-19,7623.3335
2019-11-20,7503.3335
2019-11-21,7245.0
2019-11-22,7301.6665
2019-11-25,7400.0
2019-11-26,7601.6665
2019-11-27,7586.6665
2019-11-28,7548.3335
2019-11-29,7533.3335
2019-12-02,7523.3335
2019-12-03,7538.3335
2019-12-04,7458.3335
2019-12-05,7478.3335
2019-12-06,7493.3335
2019-12-09,7468.3335
2019-12-10,7416.6665
2019-12-11,7475.0
2019-12-12,7838.3335
2019-12-13,8298.333
2019-12-16,8303.333
2019-12-17,8211.667
2019-12-18,8136.6665
2019-12-19,7970.0
2019-12-20,7983.3335
2019-12-23,7973.3335
2019-12-24,7920.0
2019-12-25,7893.3335
2019-12-26,7985.0
2019-12-27,7958.3335
2019-12-30,7975.0
2020-01-06,7785.0
2020-01-07,7838.3335
2020-01-08,7763.3335
2020-01-09,8161.6665
2020-01-10,8280.0
2020-01-14,8433.333
2020-01-15,8333.333
2020-01-16,8350.0
2020-01-17,8341.667
2020-01-20,8393.333
2020-01-21,8200.0
2020-01-22,8373.333
2020-01-23,8335.0
2020-01-24,8403.333
2020-01-27,8163.3335
2020-01-28,8090.0
2020-01-29,8260.0
2020-01-30,7983.3335
2020-01-31,8166.6665
2020-02-03,8023.3335
2020-02-04,8161.6665
