# 8069.TWO | TPEx 個股 | fetched 2026-08-20
date,value
2024-09-02,300.0
2024-09-03,299.0
2024-09-04,292.0
2024-09-05,284.0
2024-09-06,287.5
2024-09-09,282.5
2024-09-10,281.5
2024-09-11,286.5
2024-09-12,288.0
2024-09-13,291.0
2024-09-16,294.0
2024-09-18,297.5
2024-09-19,300.0
2024-09-20,311.0
2024-09-23,311.0
2024-09-24,316.0
2024-09-25,310.5
2024-09-26,305.0
2024-09-27,295.0
2024-09-30,293.0
2024-10-01,298.0
2024-10-04,300.0
2024-10-07,303.5
2024-10-08,303.5
2024-10-09,300.5
2024-10-11,309.0
2024-10-14,304.0
2024-10-15,306.0
2024-10-16,305.0
2024-10-17,313.0
2024-10-18,319.0
2024-10-21,306.0
2024-10-22,313.0
2024-10-23,314.0
2024-10-24,303.0
2024-10-25,300.0
2024-10-28,298.0
2024-10-29,302.0
2024-10-30,306.0
2024-11-01,292.0
2024-11-04,304.0
2024-11-05,302.5
2024-11-06,305.0
2024-11-07,300.0
2024-11-08,294.0
2024-11-11,300.0
2024-11-12,290.0
2024-11-13,287.0
2024-11-14,275.0
2024-11-15,290.0
2024-11-18,285.5
2024-11-19,291.5
2024-11-20,288.0
2024-11-21,285.5
2024-11-22,291.5
2024-11-25,298.5
2024-11-26,290.0
2024-11-27,283.0
2024-11-28,281.5
2024-11-29,281.0
2024-12-02,286.0
2024-12-03,286.0
2024-12-04,282.0
2024-12-05,283.0
2024-12-06,266.0
2024-12-09,268.0
2024-12-10,266.0
2024-12-11,266.0
2024-12-12,256.5
2024-12-13,266.5
2024-12-16,256.0
2024-12-17,260.5
2024-12-18,266.0
2024-12-19,274.0
2024-12-20,267.0
2024-12-23,273.0
2024-12-24,275.5
2024-12-25,273.0
2024-12-26,271.5
2024-12-27,271.0
2024-12-30,270.5
2024-12-31,273.0
2025-01-02,263.0
2025-01-03,265.5
2025-01-06,274.5
2025-01-07,277.0
2025-01-08,277.0
2025-01-09,271.0
2025-01-10,273.0
2025-01-13,262.5
2025-01-14,264.5
2025-01-15,276.0
2025-01-16,277.0
2025-01-17,272.0
2025-01-20,275.0
2025-01-21,274.5
2025-01-22,280.5
2025-02-03,288.0
2025-02-04,283.5
2025-02-05,286.5
2025-02-06,284.0
2025-02-07,290.0
2025-02-10,269.5
2025-02-11,268.0
2025-02-12,266.5
2025-02-13,266.5
2025-02-14,267.0
2025-02-17,266.5
2025-02-18,289.5
2025-02-19,282.5
2025-02-20,284.0
2025-02-21,285.0
2025-02-24,281.0
2025-02-25,276.0
2025-02-26,279.0
2025-02-27,275.5
2025-03-03,286.0
2025-03-04,283.5
2025-03-05,285.5
2025-03-06,304.5
2025-03-07,312.0
2025-03-10,290.0
2025-03-11,289.5
2025-03-12,290.0
2025-03-13,284.0
2025-03-14,289.0
2025-03-17,290.5
2025-03-18,297.0
2025-03-19,294.5
2025-03-20,295.0
2025-03-21,300.5
2025-03-24,292.0
2025-03-25,292.0
2025-03-26,292.0
2025-03-27,286.5
2025-03-28,281.5
2025-03-31,265.0
2025-04-01,268.5
2025-04-02,271.5
2025-04-07,244.5
2025-04-08,220.5
2025-04-09,198.5
2025-04-10,218.0
2025-04-11,215.5
2025-04-14,237.0
2025-04-15,245.0
2025-04-16,239.0
2025-04-17,226.0
2025-04-18,223.0
2025-04-21,219.5
2025-04-22,208.5
2025-04-23,223.5
2025-04-24,239.5
2025-04-25,238.0
2025-04-28,237.0
2025-04-29,232.0
2025-04-30,222.0
2025-05-02,232.5
2025-05-05,233.5
2025-05-06,233.5
2025-05-07,237.0
2025-05-08,229.5
2025-05-09,214.0
2025-05-12,212.0
2025-05-13,233.0
2025-05-14,233.5
2025-05-15,230.5
2025-05-16,224.0
2025-05-19,216.5
2025-05-20,218.5
2025-05-21,213.5
2025-05-22,211.5
2025-05-23,210.0
2025-05-26,210.5
2025-05-27,210.0
2025-05-28,208.0
2025-05-29,212.0
2025-06-02,204.5
2025-06-03,205.5
