# CPER | Tiingo | fetched 2026-08-20
date,value
2015-01-02,19.02
2015-01-05,19.02
2015-01-06,18.7399
2015-01-07,18.7399
2015-01-08,18.68
2015-01-09,18.61
2015-01-12,18.61
2015-01-13,18.61
2015-01-14,16.9199
2015-01-15,17.49
2015-01-16,17.829
2015-01-20,17.571
2015-01-21,17.5242
2015-01-22,17.395
2015-01-23,16.91
2015-01-26,17.0633
2015-01-27,16.73
2015-01-28,16.75
2015-01-29,16.68
2015-01-30,16.68
2015-02-02,16.68
2015-02-03,17.344
2015-02-04,17.344
2015-02-05,17.5701
2015-02-06,17.4201
2015-02-09,17.52
2015-02-10,17.2899
2015-02-11,17.36
2015-02-12,17.695
2015-02-13,17.695
2015-02-17,17.296
2015-02-18,17.624
2015-02-19,17.6597
2015-02-20,17.54
2015-02-23,17.448
2015-02-24,17.448
2015-02-25,17.9772
2015-02-26,18.5599
2015-02-27,17.9801
2015-03-02,17.9801
2015-03-03,17.98
2015-03-04,17.98
2015-03-05,18.02
2015-03-06,17.6564
2015-03-09,18.051
2015-03-10,17.62
2015-03-11,17.69
2015-03-12,17.69
2015-03-13,18.09
2015-03-16,18.09
2015-03-17,17.91
2015-03-18,17.52
2015-03-19,17.52
2015-03-20,18.29
2015-03-23,19.47
2015-03-24,18.86
2015-03-25,18.86
2015-03-26,19.062
2015-03-27,19.062
2015-03-30,18.8
2015-03-31,18.59
2015-04-01,18.4281
2015-04-02,18.43
2015-04-06,18.43
2015-04-07,18.6608
2015-04-08,18.44
2015-04-09,18.44
2015-04-10,18.5499
2015-04-13,18.44
2015-04-14,17.98
2015-04-15,18.27
2015-04-16,18.6564
2015-04-17,18.6564
2015-04-20,18.456
2015-04-21,18.21
2015-04-22,18.0544
2015-04-23,18.36
2015-04-24,18.36
2015-04-27,18.749
2015-04-28,18.749
2015-04-29,18.85
2015-04-30,19.37
2015-05-01,19.8499
2015-05-04,19.636
2015-05-05,19.79
2015-05-06,19.6642
2015-05-07,19.64
2015-05-08,19.64
2015-05-11,19.64
2015-05-12,19.7101
2015-05-13,19.7184
2015-05-14,19.71
2015-05-15,19.71
2015-05-18,19.656
2015-05-19,19.1
2015-05-20,19.03
2015-05-21,19.312
2015-05-22,18.875
2015-05-26,18.875
2015-05-27,18.9
2015-05-28,18.9
2015-05-29,18.5
2015-06-01,18.5
2015-06-02,18.5
2015-06-03,18.4799
2015-06-04,18.1301
