# FEZ | Tiingo | fetched 2026-09-23
date,value
2015-01-02,26.354405657
2015-01-05,25.2309623531
2015-01-06,24.9447347598
2015-01-07,25.2381180429
2015-01-08,25.6173696041
2015-01-09,25.2309623531
2015-01-12,25.3597647701
2015-01-13,25.4814114973
2015-01-14,25.5601240855
2015-01-15,25.495722877
2015-01-16,26.0467109941
2015-01-20,26.268537379
2015-01-21,26.526142213
2015-01-22,26.6334775605
2015-01-23,26.4331182451
2015-01-26,26.9268608437
2015-01-27,26.8409925657
2015-01-28,26.1898247908
2015-01-29,26.9053937742
2015-01-30,26.397339796
2015-02-02,26.869615325
2015-02-03,27.5279387897
2015-02-04,26.9411722233
2015-02-05,27.3919806828
2015-02-06,26.7265015283
2015-02-09,26.4975194537
2015-02-10,26.8767710148
2015-02-11,26.7050344588
2015-02-12,27.427759132
2015-02-13,27.5494058592
2015-02-17,27.6066513779
2015-02-18,27.6352741372
2015-02-19,27.6352741372
2015-02-20,28.0574598374
2015-02-23,27.8642562119
2015-02-24,28.1862622544
2015-02-25,28.1504838052
2015-02-26,27.985902939
2015-02-27,28.0932382865
2015-03-02,28.1504838052
2015-03-03,27.8785675915
2015-03-04,27.8213220729
2015-03-05,27.900034661
2015-03-06,27.3204237845
2015-03-09,27.4349148218
2015-03-10,26.7479685978
2015-03-11,26.9411722233
2015-03-12,27.1486872285
2015-03-13,26.955483603
2015-03-16,27.427759132
2015-03-17,27.3061124048
2015-03-18,27.7426094847
2015-03-19,27.3275794743
2015-03-20,28.1465324333
2015-03-23,28.2754806603
2015-03-24,28.418756468
2015-03-25,28.2181703372
2015-03-26,27.974601464
2015-03-27,28.1107134813
2015-03-30,28.2110065468
2015-03-31,27.8098342851
2015-04-01,28.0534031582
2015-04-02,28.3471185641
2015-04-06,28.6479977604
2015-04-07,28.4689030007
2015-04-08,28.3901013065
2015-04-09,28.3184634026
2015-04-10,28.3901013065
2015-04-13,28.2253341275
2015-04-14,28.3327909834
2015-04-15,28.4259202584
2015-04-16,28.325627193
2015-04-17,27.8313256562
2015-04-20,27.9244549313
2015-04-21,28.0534031582
2015-04-22,28.1178772717
2015-04-23,28.196678966
2015-04-24,28.325627193
2015-04-27,28.7124718739
2015-04-28,28.7053080835
2015-04-29,28.3112996122
2015-04-30,28.3829375161
2015-05-01,28.6479977604
2015-05-04,28.5262133238
2015-05-05,27.9817652544
