# FXI | Tiingo | fetched 2026-09-16
date,value
2015-01-02,31.6453751575
2015-01-05,31.5314882507
2015-01-06,31.1442727678
2015-01-07,31.9642584964
2015-01-08,32.2224021517
2015-01-09,32.1009227845
2015-01-12,31.8124092874
2015-01-13,32.2679569144
2015-01-14,31.9262961941
2015-01-15,32.2451795331
2015-01-16,32.0553680218
2015-01-20,31.7061148411
2015-01-21,32.715912081
2015-01-22,33.3005315357
2015-01-23,33.2170144707
2015-01-26,33.2018295498
2015-01-27,32.564062872
2015-01-28,31.9718509569
2015-01-29,32.1844398495
2015-01-30,31.3113068977
2015-02-02,31.8427791292
2015-02-03,32.4881382675
2015-02-04,32.7614668437
2015-02-05,32.6551723974
2015-02-06,31.9187037337
2015-02-09,31.8427791292
2015-02-10,31.9870358778
2015-02-11,31.9718509569
2015-02-12,32.4273985839
2015-02-13,32.632395016
2015-02-17,32.7538743832
2015-02-18,32.7235045414
2015-02-19,32.6931346996
2015-02-20,32.8981311318
2015-02-23,32.6248025556
2015-02-24,33.0272029595
2015-02-25,32.8297989878
2015-02-26,33.2321993916
2015-02-27,33.2246069312
2015-03-02,33.2929390752
2015-03-03,32.4198061234
2015-03-04,31.9035188128
2015-03-05,31.6605600784
2015-03-06,31.3264918186
2015-03-09,31.6909299202
2015-03-10,30.9544612565
2015-03-11,31.030385861
2015-03-12,31.3416767395
2015-03-13,31.5011184089
2015-03-16,32.0705529427
2015-03-17,32.2072172308
2015-03-18,32.7690593041
2015-03-19,32.7614668437
2015-03-20,32.9057235923
2015-03-23,32.799429146
2015-03-24,32.6475799369
2015-03-25,32.2755493749
2015-03-26,32.2451795331
2015-03-27,32.7235045414
2015-03-30,33.9686680553
2015-03-31,33.7105244
2015-04-01,34.317921236
2015-04-02,34.6671744168
2015-04-06,35.092352202
2015-04-07,35.2062391087
2015-04-08,37.3700903371
2015-04-09,38.8126578227
2015-04-10,38.5621066278
2015-04-13,38.9796919526
2015-04-14,38.7139558369
2015-04-15,38.9796919526
2015-04-16,39.6554209327
2015-04-17,37.9850796336
2015-04-20,38.2735931307
2015-04-21,39.1011713198
2015-04-22,39.7769002999
2015-04-23,39.3669074356
2015-04-24,39.4200546587
2015-04-27,40.0206182804
2015-04-28,40.0198590343
2015-04-29,39.4656094214
2015-04-30,38.9720994922
2015-05-01,39.3289451333
2015-05-04,39.6402360118
2015-05-05,38.2128534471
2015-05-06,37.4384224812
2015-05-07,37.4232375603
2015-05-08,38.3495177352
2015-05-11,38.0154494754
2015-05-12,37.8028605828
2015-05-13,37.3624978767
2015-05-14,37.7041585969
2015-05-15,38.4178498793
2015-05-18,37.8484153455
2015-05-19,38.3647026561
2015-05-20,37.9926720941
2015-05-21,37.8408228851
2015-05-22,38.9796919526
2015-05-26,39.1770959243
2015-05-27,39.1391336221
2015-05-28,37.7193435178
2015-05-29,37.0208371564
2015-06-01,37.4308300207
2015-06-02,37.4384224812
2015-06-03,37.6965661365
2015-06-04,37.4611998625
2015-06-05,37.1726863654
2015-06-08,37.5143470857
2015-06-09,36.9980597751
2015-06-10,36.6488065943
2015-06-11,36.9676899332
2015-06-12,37.2789808117
2015-06-15,36.1477042046
2015-06-16,35.6769716567
2015-06-17,35.783266103
2015-06-18,35.851598247
2015-06-19,35.5251224477
2015-06-22,35.9882625351
2015-06-23,36.8234331847
2015-06-24,36.906402074
2015-06-25,36.2958743308
2015-06-26,35.2656087643
2015-06-29,34.3421855527
2015-06-30,35.1816611996
2015-07-01,34.8992921184
2015-07-02,34.9603448927
2015-07-06,33.4569203251
2015-07-07,32.0221801287
2015-07-08,29.7250694951
2015-07-09,31.213230869
2015-07-10,32.6327078719
2015-07-13,32.7471818237
2015-07-14,32.6021814847
2015-07-15,31.8466534026
2015-07-16,32.4648127425
2015-07-17,32.6937606462
2015-07-20,32.4877075329
2015-07-21,32.6250762751
2015-07-22,32.2892860164
2015-07-23,32.2816544196
2015-07-24,31.8542849994
2015-07-27,30.6255979162
2015-07-28,31.1292833044
2015-07-29,31.4955999502
2015-07-30,31.0148093525
2015-07-31,30.8927038039
2015-08-03,30.4424395933
2015-08-04,30.6561243034
2015-08-05,30.8621774167
2015-08-06,30.6103347227
2015-08-07,30.9308617878
2015-08-10,31.6253370957
2015-08-11,31.213230869
2015-08-12,30.5340187548
2015-08-13,30.7629666585
2015-08-14,30.8545458199
2015-08-17,30.6561243034
2015-08-18,30.0150701731
2015-08-19,29.3434896556
2015-08-20,28.6184879606
2015-08-21,27.9011178624
2015-08-24,26.1229558104
2015-08-25,26.71822036
2015-08-26,27.3134849096
2015-08-27,28.5955931702
2015-08-28,27.7484859266
2015-08-31,27.4050640711
2015-09-01,26.1611137944
2015-09-02,26.4587460692
2015-09-03,26.611378005
2015-09-04,25.6269020191
2015-09-08,27.4355904582
2015-09-09,27.4661168454
2015-09-10,27.5195380229
2015-09-11,27.733222733
2015-09-14,27.4584852486
2015-09-15,27.8171702977
2015-09-16,28.6490143478
2015-09-17,28.3208556858
2015-09-18,27.6950647491
2015-09-21,28.0919077821
2015-09-22,27.6034855876
2015-09-23,27.2142741513
2015-09-24,27.0005894412
2015-09-25,26.9090102798
2015-09-28,26.4129564884
2015-09-29,26.3976932949
2015-09-30,27.0616422156
2015-10-01,27.2524321353
2015-10-02,28.2445397179
2015-10-05,28.748225106
2015-10-06,28.3208556858
2015-10-07,29.5037531882
2015-10-08,29.6411219304
2015-10-09,29.5037531882
2015-10-12,29.5266479786
2015-10-13,29.1450681391
2015-10-14,29.2671736877
2015-10-15,30.23638648
2015-10-16,30.343228835
2015-10-19,30.053228157
2015-10-20,30.091386141
2015-10-21,29.6487535272
2015-10-22,30.2974392543
2015-10-23,30.8087562392
2015-10-26,30.1371757217
2015-10-27,29.9005962212
2015-10-28,29.5800691561
2015-10-29,29.2900684781
2015-10-30,29.2061209134
2015-11-02,29.4503320107
2015-11-03,29.4808583978
2015-11-04,29.8548066405
2015-11-05,29.9998069795
2015-11-06,29.7250694951
2015-11-09,29.1298049455
2015-11-10,28.931383429
2015-11-11,28.9390150258
2015-11-12,28.9161202354
2015-11-13,28.3361188794
2015-11-16,28.7634882996
2015-11-17,28.6337511542
2015-11-18,28.8321726707
2015-11-19,28.8703306547
2015-11-20,29.3587528492
2015-11-23,29.038225784
2015-11-24,29.0458573808
2015-11-25,28.9771730097
2015-11-27,28.1834869436
2015-11-30,28.5803299767
2015-12-01,28.7176987189
2015-12-02,28.4734876216
2015-12-03,28.2674345083
2015-12-04,28.5116456056
2015-12-07,28.0842761853
2015-12-08,27.6569067651
2015-12-09,27.3669060871
2015-12-10,27.1074317963
2015-12-11,26.3519037141
2015-12-14,26.7411151504
2015-12-15,27.1990109578
2015-12-16,27.6798015555
2015-12-17,27.3440112968
2015-12-18,27.607301386
2015-12-21,27.8894720457
2015-12-22,27.9362533799
2015-12-23,28.4937309452
2015-12-24,28.4274573885
2015-12-28,27.967440936
2015-12-29,28.0610036043
2015-12-30,27.6087840408
2015-12-31,27.5152213725
2016-01-04,26.6263760235
2016-01-05,26.478235132
2016-01-06,25.9012653441
2016-01-07,24.9110604378
2016-01-08,24.6537630999
2016-01-11,24.5212159865
2016-01-12,24.4822315414
2016-01-13,24.0300119779
2016-01-14,24.373075095
2016-01-15,23.2308308527
2016-01-19,23.8116990851
2016-01-20,22.9696350703
2016-01-21,23.1255728509
2016-01-22,23.9598399766
2016-01-25,23.3789717442
2016-01-26,23.5466048583
2016-01-27,23.2191355192
2016-01-28,23.5621986363
2016-01-29,24.3262937609
2016-02-01,23.8039021961
2016-02-02,23.1957448521
2016-02-03,23.5699955253
2016-02-04,23.3516826326
2016-02-05,23.180151074
2016-02-08,22.7201346215
2016-02-09,22.5096186178
2016-02-10,22.6655563983
2016-02-11,22.1743523897
2016-02-12,22.6655563983
2016-02-16,23.6167768595
2016-02-17,23.9832306437
2016-02-18,23.757120862
2016-02-19,23.7493239729
2016-02-22,24.4198564292
2016-02-23,23.8116990851
2016-02-24,23.7415270839
2016-02-25,23.6635581936
2016-02-26,23.7181364168
2016-02-29,23.6089799705
2016-03-01,24.4588408743
2016-03-02,24.9890293281
2016-03-03,25.0124199951
2016-03-04,25.7219368965
2016-03-07,25.4256551135
2016-03-08,24.8408884366
2016-03-09,24.9344511049
2016-03-10,24.7395288792
2016-03-11,25.6205773392
2016-03-14,25.6517648953
2016-03-15,25.4958271147
2016-03-16,25.7843120087
2016-03-17,26.0844922362
2016-03-18,26.2599222393
2016-03-21,26.2833129064
2016-03-22,26.0727969027
2016-03-23,25.7063431184
2016-03-24,25.5270146708
2016-03-28,25.7375306745
2016-03-29,25.9948280124
2016-03-30,26.3846724637
2016-03-31,26.326195796
2016-04-01,26.181953349
2016-04-04,25.862280899
2016-04-05,25.277514222
2016-04-06,25.7531244526
2016-04-07,25.261920444
2016-04-08,25.5893897831
2016-04-11,25.8934684551
2016-04-12,26.2521253503
2016-04-13,27.2813147017
2016-04-14,27.2267364785
2016-04-15,26.8836733614
2016-04-18,27.0552049199
2016-04-19,27.382674259
2016-04-20,27.070798698
2016-04-21,26.8836733614
2016-04-22,26.782313804
2016-04-25,26.462641354
2016-04-26,26.6185791345
2016-04-27,26.8135013601
2016-04-28,26.5640009113
2016-04-29,26.1429689039
2016-05-02,26.0961875697
2016-05-03,25.4607411141
2016-05-04,25.1449671086
2016-05-05,25.1839515537
2016-05-06,25.0358106622
2016-05-09,24.6537630999
2016-05-10,25.2229359988
2016-05-11,24.8019039914
2016-05-12,24.7551226573
2016-05-13,24.357481317
2016-05-16,24.8330915475
2016-05-17,24.6810522115
2016-05-18,24.4900284304
2016-05-19,24.357481317
2016-05-20,24.669356878
2016-05-23,24.6147786548
2016-05-24,25.0903888854
2016-05-25,25.5504053379
2016-05-26,25.4568426696
2016-05-27,25.6049835611
2016-05-31,26.2365315722
2016-06-01,26.0688984581
2016-06-02,26.2989066844
2016-06-03,26.3300942405
2016-06-06,26.6653604686
2016-06-07,27.0084235858
2016-06-08,27.086392476
2016-06-09,26.9304546955
2016-06-10,26.2053440161
2016-06-13,25.6517648953
2016-06-14,25.7219368965
2016-06-15,25.7609213416
2016-06-16,25.6868508959
2016-06-17,25.581592894
2016-06-20,26.0338124575
2016-06-21,26.2944850686
