# MU | Tiingo | fetched 2026-08-23
date,value
2015-01-02,33.8803593476
2015-01-05,32.9297593371
2015-01-06,32.0474075325
2015-01-07,31.2966772678
2015-01-08,32.8273870283
2015-01-09,32.6860157447
2015-01-12,30.8676885451
2015-01-13,30.0633346901
2015-01-14,29.2979798099
2015-01-15,28.5667490326
2015-01-16,28.264506978
2015-01-20,28.9274895494
2015-01-21,29.7269685326
2015-01-22,30.1169582805
2015-01-23,30.1754567426
2015-01-26,30.2437049485
2015-01-27,28.907990062
2015-01-28,28.3668792868
2015-01-29,28.9664885242
2015-01-30,28.5326249297
2015-02-02,27.7233962028
2015-02-03,28.2206331314
2015-02-04,28.3035059528
2015-02-05,28.7519941629
2015-02-06,28.1865090284
2015-02-09,27.6405233814
2015-02-10,30.3119531544
2015-02-11,30.2437049485
2015-02-12,31.1406813687
2015-02-13,31.0529336754
2015-02-17,31.5209213728
2015-02-18,31.3649254737
2015-02-19,31.0139347006
2015-02-20,31.2284290619
2015-02-23,30.614195209
2015-02-24,29.9999613561
2015-02-25,29.7172187889
2015-02-26,29.8537152006
2015-02-27,29.9024639191
2015-03-02,30.4581993099
2015-03-03,28.9177398057
2015-03-04,28.5326249297
2015-03-05,28.5472495452
2015-03-06,27.7867695368
2015-03-09,27.942765436
2015-03-10,26.9190423478
2015-03-11,27.1822854276
2015-03-12,27.3187818394
2015-03-13,27.9963890263
2015-03-16,27.7916444087
2015-03-17,26.9677910663
2015-03-18,27.4552782511
2015-03-19,27.3480310705
2015-03-20,27.9622649234
2015-03-23,27.3187818394
2015-03-24,27.2602833772
2015-03-25,25.9050690033
2015-03-26,25.9928166966
2015-03-27,26.0074413121
2015-03-30,26.012316184
2015-03-31,26.4510546503
2015-04-01,26.4510546503
2015-04-02,26.0561900306
2015-04-06,26.7435469612
2015-04-07,26.1975613142
2015-04-08,26.4510546503
2015-04-09,27.1189120936
2015-04-10,27.3187818394
2015-04-13,27.1822854276
2015-04-14,27.0262895285
2015-04-15,27.4650279948
2015-04-16,27.3090320957
2015-04-17,27.3187818394
2015-04-20,27.5527756881
2015-04-21,27.8355182553
2015-04-22,28.7568690347
2015-04-23,28.7763685221
2015-04-24,28.4692515956
2015-04-27,28.5326249297
2015-04-28,28.264506978
2015-04-29,28.1475100536
2015-04-30,27.42602902
2015-05-01,28.264506978
2015-05-04,27.9525151797
2015-05-05,27.3382813268
2015-05-06,27.2895326083
2015-05-07,26.5875510621
2015-05-08,26.4998033688
2015-05-11,27.0555387596
2015-05-12,26.1975613142
2015-05-13,26.5095531125
2015-05-14,26.0220659277
2015-05-15,25.6710751546
2015-05-18,26.0903141335
2015-05-19,25.6515756672
2015-05-20,25.9245684907
2015-05-21,26.2268105453
2015-05-22,26.6460495243
2015-05-26,26.6362997806
2015-05-27,27.42602902
2015-05-28,27.5722751755
2015-05-29,27.2310341461
2015-06-01,27.7087715873
2015-06-02,27.0945377343
2015-06-03,26.4023059318
2015-06-04,26.3096833667
2015-06-05,25.9245684907
2015-06-08,25.271335663
2015-06-09,24.5596043731
2015-06-10,24.5596043731
2015-06-11,24.3938587302
2015-06-12,24.5011059109
2015-06-15,23.6333787219
2015-06-16,23.6333787219
2015-06-17,23.8673725706
2015-06-18,23.852747955
2015-06-19,23.8576228269
2015-06-22,24.013618726
2015-06-23,23.8771223143
2015-06-24,23.4578833353
2015-06-25,23.4188843605
2015-06-26,19.1679961086
2015-06-29,18.2612699447
2015-06-30,18.3685171254
2015-07-01,18.3100186632
2015-07-02,18.5927612304
2015-07-06,17.8615304532
2015-07-07,17.7445335288
2015-07-08,17.1887981381
2015-07-09,16.7208104406
2015-07-10,17.1302996759
2015-07-13,17.1692986507
2015-07-14,19.1192473901
2015-07-15,18.4172658439
2015-07-16,19.1192473901
2015-07-17,19.6164843186
2015-07-20,18.4172658439
2015-07-21,18.4075161002
2015-07-22,17.5495386548
2015-07-23,18.2320207136
2015-07-24,17.8810299406
2015-07-27,17.6665355792
2015-07-28,19.2557438018
2015-07-29,19.3727407262
2015-07-30,19.4019899573
2015-07-31,18.0467755834
2015-08-03,18.5245130246
2015-08-04,18.5342627683
2015-08-05,18.4367653313
2015-08-06,18.251520201
2015-08-07,17.9785273775
2015-08-10,18.349017638
2015-08-11,17.4325417305
2015-08-12,17.7347837851
2015-08-13,17.2570463439
2015-08-14,16.5258155666
2015-08-17,16.7890586465
2015-08-18,15.9700801759
2015-08-19,15.5020924784
2015-08-20,14.3711222096
2015-08-21,14.1663775919
2015-08-24,14.0786298987
2015-08-25,13.9128842558
2015-08-26,14.0591304113
2015-08-27,15.2778483734
2015-08-28,15.5605909406
2015-08-31,15.999329407
2015-09-01,15.4240945289
2015-09-02,15.8823324826
2015-09-03,16.1748247936
2015-09-04,16.3990688986
2015-09-08,17.0913007011
2015-09-09,16.5355653103
2015-09-10,16.7695591591
2015-09-11,16.3795694112
2015-09-14,16.2820719742
2015-09-15,16.1065765877
2015-09-16,16.2625724868
2015-09-17,15.999329407
2015-09-18,15.1121027306
2015-09-21,15.355846323
2015-09-22,15.0243550373
2015-09-23,14.4393704155
2015-09-24,14.9561068314
2015-09-25,14.5368678524
2015-09-28,13.7081396382
2015-09-29,14.0201314365
2015-09-30,14.5856165709
2015-10-01,14.4003714407
2015-10-02,15.5118422221
2015-10-05,17.1302996759
2015-10-06,17.7640330162
2015-10-07,18.1540227641
2015-10-08,18.251520201
2015-10-09,17.705534554
2015-10-12,17.5787878859
2015-10-13,17.7250340414
2015-10-14,18.349017638
2015-10-15,18.1930217389
2015-10-16,18.0370258397
2015-10-19,18.6805089237
2015-10-20,16.6623119784
2015-10-21,16.0188288944
2015-10-22,16.3015714616
2015-10-23,16.8085581339
2015-10-26,16.1650750499
2015-10-27,16.2625724868
2015-10-28,16.4965663356
2015-10-29,15.8043345331
2015-10-30,16.1455755625
2015-11-02,16.6623119784
2015-11-03,17.3886678838
2015-11-04,17.0035530078
2015-11-05,16.096826844
2015-11-06,16.0383283818
2015-11-09,15.4435940163
2015-11-10,15.1559765772
2015-11-11,15.1121027306
2015-11-12,14.9658565751
2015-11-13,14.6246155457
2015-11-16,14.517368365
2015-11-17,14.8976083692
2015-11-18,15.2193499112
2015-11-19,15.4728432474
2015-11-20,15.0438545247
2015-11-23,14.936607344
2015-11-24,15.2388493986
2015-11-25,15.1901006801
2015-11-27,15.1706011927
2015-11-30,15.5313417095
2015-12-01,16.1358258188
2015-12-02,15.4240945289
2015-12-03,15.2193499112
2015-12-04,15.1121027306
2015-12-07,14.4783693902
2015-12-08,14.2346257978
2015-12-09,13.9616329743
2015-12-10,14.29312426
2015-12-11,13.6886401508
2015-12-14,13.3181498903
2015-12-15,13.8251365625
2015-12-16,13.7178893819
2015-12-17,13.9616329743
2015-12-18,14.0006319491
2015-12-21,14.4003714407
2015-12-22,14.2443755415
2015-12-23,13.9421334869
2015-12-24,14.1176288735
2015-12-28,13.8348863062
2015-12-29,13.9811324617
2015-12-30,13.8056370751
2015-12-31,13.8056370751
2016-01-04,13.971382718
2016-01-05,14.4491201592
2016-01-06,13.8641355373
2016-01-07,13.3181498903
2016-01-08,12.9964083483
2016-01-11,12.2164288525
2016-01-12,12.4016739828
2016-01-13,11.7581908987
2016-01-14,11.719191924
2016-01-15,10.8027160164
2016-01-19,10.5297231929
2016-01-20,9.7984924156
2016-01-21,10.5784719114
2016-01-22,10.7929662727
2016-01-25,10.2177313946
2016-01-26,10.2859796005
2016-01-27,10.1299837013
2016-01-28,9.6376216446
2016-01-29,10.7539672979
2016-02-01,10.6857190921
2016-02-02,10.3249785753
2016-02-03,10.4907242181
2016-02-04,10.9489621719
2016-02-05,10.7247180669
2016-02-08,9.91548934
2016-02-09,9.7302442097
2016-02-10,9.6522462602
2016-02-11,9.4475016425
2016-02-12,9.7692431845
2016-02-16,10.5394729366
2016-02-17,11.1439570458
2016-02-18,11.202455508
2016-02-19,10.880713966
2016-02-22,10.7734667853
2016-02-23,10.2274811383
2016-02-24,10.3737272938
2016-02-25,10.4517252433
2016-02-26,10.4322257559
2016-02-29,10.3639775501
2016-03-01,10.7929662727
2016-03-02,11.3877006383
2016-03-03,11.4949478189
2016-03-04,11.5826955122
2016-03-07,11.2902032013
2016-03-08,10.3932267811
2016-03-09,10.5394729366
2016-03-10,10.6077211425
2016-03-11,11.104958071
2016-03-14,10.8709642223
2016-03-15,10.5784719114
2016-03-16,10.4517252433
2016-03-17,10.5979713988
2016-03-18,10.8612144786
2016-03-21,11.2414544828
2016-03-22,11.1537067895
2016-03-23,10.3834770375
2016-03-24,10.237230882
2016-03-28,10.1202339576
2016-03-29,10.1884821635
2016-03-30,10.2177313946
2016-03-31,10.2079816509
2016-04-01,10.7539672979
2016-04-04,10.5297231929
2016-04-05,10.139733445
2016-04-06,10.2079816509
2016-04-07,10.2469806257
2016-04-08,10.4517252433
2016-04-11,10.1884821635
2016-04-12,9.91548934
2016-04-13,10.6077211425
2016-04-14,10.139733445
2016-04-15,10.4224760122
2016-04-18,10.6174708862
2016-04-19,10.4517252433
2016-04-20,10.4809744744
2016-04-21,10.3834770375
2016-04-22,10.3932267811
2016-04-25,10.2859796005
2016-04-26,11.2219549954
2016-04-27,11.2707037139
2016-04-28,11.3292021761
2016-04-29,10.4809744744
2016-05-02,10.3542278064
2016-05-03,10.1007344702
2016-05-04,9.7497436971
2016-05-05,9.8082421593
2016-05-06,9.7399939534
2016-05-09,9.6229970291
2016-05-10,9.8374913904
2016-05-11,9.8472411341
2016-05-12,9.3890031803
2016-05-13,9.3207549745
2016-05-16,9.4377518988
2016-05-17,9.4280021551
2016-05-18,9.7984924156
2016-05-19,9.817991903
2016-05-20,10.5297231929
2016-05-23,10.8612144786
2016-05-24,11.202455508
2016-05-25,11.3097026887
2016-05-26,11.6509437181
2016-05-27,12.0019344912
2016-05-31,12.4016739828
2016-06-01,12.7624144996
2016-06-02,12.7819139869
2016-06-03,12.5381703945
2016-06-06,12.4504227012
2016-06-07,12.6746668063
2016-06-08,12.265177571
2016-06-09,12.1969293651
2016-06-10,11.8361888483
2016-06-13,11.7484411551
2016-06-14,11.621694487
2016-06-15,11.719191924
2016-06-16,11.6509437181
2016-06-17,11.8946873105
2016-06-20,12.0116842349
