# SOXQ | Tiingo | fetched 2026-08-21
date,value
2021-06-11,24.1514799697
2021-06-14,24.4912809651
2021-06-15,24.309722503
2021-06-16,24.1186083324
2021-06-17,24.3479453371
2021-06-18,23.7459356997
2021-06-21,23.9179384532
2021-06-22,23.984828413
2021-06-23,24.0708297897
2021-06-24,24.5295037992
2021-06-25,24.3976350215
2021-06-28,25.0550677684
2021-06-29,25.1984033964
2021-06-30,25.2461819391
2021-07-01,24.8448421808
2021-07-02,24.9690663917
2021-07-06,24.9499549746
2021-07-07,24.5963937589
2021-07-08,24.2714996689
2021-07-09,24.6919508443
2021-07-12,24.9595106831
2021-07-13,24.8257307637
2021-07-14,24.7301736784
2021-07-15,24.2810553774
2021-07-16,23.7363799912
2021-07-19,23.9561612874
2021-07-20,24.0326069556
2021-07-21,23.6026000717
2021-07-22,24.3192782115
2021-07-23,24.7188979423
2021-07-26,24.6765661535
2021-07-27,24.2714996689
2021-07-28,24.6441723016
2021-07-29,25.1028463111
2021-07-30,25.2748490647
2021-08-02,25.4468518182
2021-08-03,25.5806317376
2021-08-04,25.8864144106
2021-08-05,25.857747285
2021-08-06,25.7621901997
2021-08-09,25.6666331144
2021-08-10,25.3608504414
2021-08-11,25.2557376476
2021-08-12,25.0072892258
2021-08-13,25.1410691452
2021-08-16,25.0550677684
2021-08-17,24.5963937589
2021-08-18,24.2332768348
2021-08-19,24.4435024225
2021-08-20,24.5295037992
2021-08-23,25.1984033964
2021-08-24,25.2652933561
2021-08-25,25.4372961097
2021-08-26,25.4564075267
2021-08-27,25.9150815362
2021-08-30,26.0106386215
2021-08-31,25.8099687424
2021-09-01,25.676188823
2021-09-02,25.7526344912
2021-09-03,25.9150815362
2021-09-07,25.8290801595
2021-09-08,25.5137417779
2021-09-09,25.6188545718
2021-09-10,25.7717459083
2021-09-13,26.0488614557
2021-09-14,26.0488614557
2021-09-15,26.1921970836
2021-09-16,26.2399756263
2021-09-17,25.857747285
2021-09-20,25.1974956041
2021-09-21,25.302924456
2021-09-22,25.7629776279
2021-09-23,26.1463552712
2021-09-24,26.0888486247
2021-09-27,26.012173096
2021-09-28,25.0824823111
2021-09-29,24.6991046678
2021-09-30,24.6415980213
2021-10-01,24.6703513446
2021-10-04,24.1719604083
2021-10-05,24.4115714354
2021-10-06,24.4690780819
2021-10-07,24.7661957554
2021-10-08,24.5457536105
2021-10-11,24.36364923
2021-10-12,23.9994404689
2021-10-13,24.1144537618
2021-10-14,24.8907934895
2021-10-15,25.07289787
2021-10-18,25.2550022506
2021-10-19,25.542535483
2021-10-20,25.542535483
2021-10-21,25.8108998333
2021-10-22,25.4946132776
2021-10-25,25.6671332171
2021-10-26,25.7821465101
2021-10-27,25.4275221901
2021-10-28,25.9642508906
2021-10-29,26.0888486247
2021-11-01,26.4913951501
2021-11-02,26.8172661469
2021-11-03,27.1718904669
2021-11-04,28.1015812519
2021-11-05,28.4370366897
2021-11-08,28.7916610098
2021-11-09,28.7820765687
2021-11-10,28.0057368411
2021-11-11,28.4562055719
2021-11-12,28.7341543633
2021-11-15,28.6862321579
2021-11-16,29.2229608585
2021-11-17,29.0121031547
2021-11-18,29.5296629731
2021-11-19,29.6255073839
2021-11-22,29.1367008887
2021-11-23,29.0408564779
2021-11-24,29.3092208282
2021-11-26,28.5328811006
2021-11-29,29.7405206769
2021-11-30,28.9929342725
2021-12-01,28.8683365384
2021-12-02,28.8395832152
2021-12-03,28.8491676563
2021-12-06,28.9258431849
2021-12-07,30.2580804953
2021-12-08,30.0663916737
2021-12-09,29.405065239
2021-12-10,29.6830140304
2021-12-13,28.9066743028
2021-12-14,28.9066743028
2021-12-15,29.8267806466
2021-12-16,28.5616344238
2021-12-17,28.7245699222
2021-12-20,28.2527278877
2021-12-21,29.2159985283
2021-12-22,29.4760816013
2021-12-23,29.7746954998
2021-12-27,30.5934755443
2021-12-28,30.3333924714
2021-12-29,30.3526578842
2021-12-30,29.9962477472
2021-12-31,30.1503710497
2022-01-03,30.5645774251
2022-01-04,30.3911887098
2022-01-05,29.3797545372
2022-01-06,29.7746954998
2022-01-07,28.9173846297
2022-01-10,28.8210575657
2022-01-11,29.4086526564
2022-01-12,29.659103023
2022-01-13,28.9655481618
2022-01-14,29.6013067845
2022-01-18,28.3201568326
2022-01-19,27.4146824305
2022-01-20,26.4899426155
2022-01-21,26.0083072952
2022-01-24,26.3550847258
2022-01-25,25.4688757365
2022-01-26,25.7867550479
2022-01-27,24.5634013344
2022-01-28,25.0161385355
2022-01-31,26.3743501386
2022-02-01,26.5766369732
2022-02-02,27.2412937152
2022-02-03,26.0950016529
2022-02-04,26.2202268362
2022-02-07,26.239492249
2022-02-08,26.8463527525
2022-02-09,27.7421944482
2022-02-10,26.8078219269
2022-02-11,25.4977738557
2022-02-14,25.6037336262
2022-02-15,26.9426798166
2022-02-16,27.0197414678
2022-02-17,26.0179400016
2022-02-18,25.7289588095
2022-02-22,25.4977738557
2022-02-23,24.910178765
2022-02-24,25.9119802312
2022-02-25,26.1720633041
2022-02-28,25.9890418824
2022-03-01,25.1413637187
2022-03-02,25.9986745888
2022-03-03,25.3051197276
2022-03-04,24.8138517009
2022-03-07,23.6771923451
2022-03-08,24.0047043629
2022-03-09,24.8812806458
2022-03-10,24.3996453255
2022-03-11,23.889111886
2022-03-14,23.1184953735
2022-03-15,24.1491949589
2022-03-16,25.3821813789
2022-03-17,25.574835507
2022-03-18,26.0950016529
2022-03-21,25.8781405336
2022-03-22,26.1678212112
2022-03-23,25.5594917882
2022-03-24,26.9306469956
2022-03-25,26.8244307471
2022-03-28,26.9982391537
2022-03-29,27.4424161927
2022-03-30,26.6216542728
2022-03-31,26.1098850757
2022-04-01,25.6367399689
2022-04-04,26.0519489401
2022-04-05,24.9028822523
2022-04-06,24.37180101
2022-04-07,24.3428329422
2022-04-08,23.7538155644
2022-04-11,23.2034222769
2022-04-12,23.2130782995
