# STX | Tiingo | fetched 2026-08-23
date,value
2015-01-02,39.5369873666
2015-01-05,39.3273850403
2015-01-06,38.2434415818
2015-01-07,38.4889757354
2015-01-08,39.1836577309
2015-01-09,39.791504477
2015-01-12,38.9501008531
2015-01-13,38.7764303542
2015-01-14,38.6806121479
2015-01-15,37.2972367948
2015-01-16,37.9739528766
2015-01-20,37.8002823777
2015-01-21,37.9020892219
2015-01-22,38.2913506849
2015-01-23,38.3153052365
2015-01-26,35.3688953934
2015-01-27,34.1741621338
2015-01-28,34.4526337958
2015-01-29,35.1533044292
2015-01-30,33.7998722655
2015-02-02,34.6143270189
2015-02-03,35.4826795133
2015-02-04,35.88990689
2015-02-05,36.1773615088
2015-02-06,36.2192819741
2015-02-09,36.497241095
2015-02-10,36.3763893033
2015-02-11,36.7389446784
2015-02-12,36.9564779035
2015-02-13,37.3643527005
2015-02-17,36.9504353139
2015-02-18,36.9685630827
2015-02-19,37.1377555911
2015-02-20,37.5728220412
2015-02-23,37.4580128391
2015-02-24,36.6785187826
2015-02-25,36.2676226908
2015-02-26,36.6664336034
2015-02-27,36.9323075452
2015-03-02,37.1981814869
2015-03-03,35.5425119405
2015-03-04,35.0953603112
2015-03-05,35.3098722415
2015-03-06,34.3823347402
2015-03-09,34.4306754569
2015-03-10,32.8777299334
2015-03-11,32.8475169855
2015-03-12,32.9532623033
2015-03-13,32.4849616104
2015-03-16,33.1375612856
2015-03-17,32.4275570093
2015-03-18,33.4155204065
2015-03-19,33.6602452847
2015-03-20,34.1466737463
2015-03-23,33.7478628337
2015-03-24,33.4306268805
2015-03-25,32.3943227666
2015-03-26,32.3429607551
2015-03-27,31.8807026519
2015-03-30,32.0740655186
2015-03-31,31.4395936121
2015-04-01,31.2945714621
2015-04-02,31.6933823747
2015-04-06,31.8686174727
2015-04-07,32.4789190208
2015-04-08,32.2130450791
2015-04-09,33.0469224418
2015-04-10,33.5847129149
2015-04-13,33.481988892
2015-04-14,33.699522117
2015-04-15,34.2433551797
2015-04-16,33.8143313192
2015-04-17,34.7025919882
2015-04-20,35.7328535125
2015-04-21,35.2947657675
2015-04-22,35.185999155
2015-04-23,35.5002138134
2015-04-24,35.2524676405
2015-04-27,34.9956575831
2015-04-28,35.6512785531
2015-04-29,35.4760434551
2015-04-30,35.8114710621
2015-05-01,36.3664512846
2015-05-04,36.1103065666
2015-05-05,35.1894053182
2015-05-06,34.3294909075
2015-05-07,34.4148724802
2015-05-08,34.9058165232
2015-05-11,34.6161290444
2015-05-12,34.2502080185
2015-05-13,34.5124514204
2015-05-14,35.0247408566
2015-05-15,34.6954119333
2015-05-18,34.7015106171
2015-05-19,33.6342409584
2015-05-20,33.2988133514
2015-05-21,33.7684120012
2015-05-22,34.0245567193
2015-05-26,33.2927146676
2015-05-27,33.7501159499
2015-05-28,34.3752310357
2015-05-29,33.9330764628
2015-06-01,33.6647343772
2015-06-02,33.7196225311
2015-06-03,33.9483231722
2015-06-04,33.2622212488
2015-06-05,33.1951357274
2015-06-08,32.3474186842
2015-06-09,32.0912739661
2015-06-10,32.6828462912
2015-06-11,33.1158528384
2015-06-12,32.6584515561
2015-06-15,32.5486752484
2015-06-16,32.4449976244
2015-06-17,32.4328002569
2015-06-18,33.0182738982
2015-06-19,32.5364778809
2015-06-22,32.8505600947
2015-06-23,31.8900174019
2015-06-24,31.6948595214
2015-06-25,30.9142279996
2015-06-26,30.5300109225
2015-06-29,29.8957478111
2015-06-30,28.9687478789
2015-07-01,29.0114386653
2015-07-02,29.3651623236
2015-07-06,28.6760110583
2015-07-07,29.1639057594
2015-07-08,28.2978926649
2015-07-09,28.0783400494
2015-07-10,28.0234518955
2015-07-13,28.2247084597
2015-07-14,29.0358334003
2015-07-15,28.8467742037
2015-07-16,29.2126952295
2015-07-17,29.3651623236
2015-07-20,29.1090176055
2015-07-21,29.3407675885
2015-07-22,29.9201425461
2015-07-23,29.2797807509
2015-07-24,28.8589715712
2015-07-27,29.2187939133
2015-07-28,29.8042675546
2015-07-29,30.1396951616
2015-07-30,31.2801490255
2015-07-31,30.8593398458
2015-08-03,31.3838266495
2015-08-04,31.3411358631
2015-08-05,31.627774
2015-08-06,31.2984450768
2015-08-07,30.5117148712
2015-08-10,31.5289775412
2015-08-11,31.4488295733
2015-08-12,31.8249084997
2015-08-13,31.6707777922
2015-08-14,32.0715176319
2015-08-17,32.3366224489
2015-08-18,32.0900133168
2015-08-19,30.4747235014
2015-08-20,29.9938356938
2015-08-21,30.0369922919
2015-08-24,29.3588171786
2015-08-25,28.5635027275
2015-08-26,29.5252783428
2015-08-27,30.8508024279
2015-08-28,31.2453770393
2015-08-31,31.6892734771
2015-09-01,31.1960552128
2015-09-02,30.6843412637
2015-09-03,30.5117148712
2015-09-04,29.7225656484
2015-09-08,30.5856976109
2015-09-09,30.8877937977
2015-09-10,30.345253707
2015-09-11,30.1726273146
2015-09-14,29.7965483881
2015-09-15,29.9691747806
2015-09-16,30.3020971089
2015-09-17,29.4451303748
2015-09-18,28.1442672029
2015-09-21,28.4833547596
2015-09-22,26.9975347385
2015-09-23,26.8495692593
2015-09-24,27.1886568159
2015-09-25,26.4426641913
2015-09-28,25.9371154704
2015-09-29,25.7583238497
2015-09-30,27.6202227971
2015-10-01,26.4241685064
2015-10-02,26.6214558121
2015-10-05,27.6448837104
2015-10-06,28.4833547596
2015-10-07,29.1553646446
2015-10-08,29.7965483881
2015-10-09,30.2281143693
2015-10-12,30.221949141
2015-10-13,29.9753400089
2015-10-14,29.469791288
2015-10-15,25.5487060874
2015-10-16,24.3896431664
2015-10-19,23.8902596739
2015-10-20,23.7484594229
2015-10-21,22.8914926888
2015-10-22,24.1923558607
2015-10-23,25.3699144666
2015-10-26,24.3834779381
2015-10-27,24.1676949475
2015-10-28,24.2540081437
2015-10-29,23.464858921
2015-10-30,23.464858921
2015-11-02,23.9704076418
2015-11-03,24.8890266589
2015-11-04,24.3156604268
2015-11-05,24.3532522749
2015-11-06,24.3156604268
2015-11-09,23.9835991017
2015-11-10,22.8934355062
2015-11-11,22.6302925693
2015-11-12,21.3521697332
2015-11-13,20.7193736231
2015-11-16,21.4868738556
2015-11-17,21.2268635728
2015-11-18,21.5401289738
2015-11-19,21.4774758936
2015-11-20,21.5589248978
2015-11-23,21.7406188304
2015-11-24,21.4712105856
2015-11-25,21.6591698262
2015-11-27,21.6904963663
2015-11-30,22.5175170249
2015-12-01,22.8746395821
2015-12-02,21.6403739021
2015-12-03,21.1579451845
2015-12-04,21.5839861299
2015-12-07,21.9912311512
2015-12-08,22.1979863159
2015-12-09,22.3796802485
2015-12-10,22.6929456495
2015-12-11,22.542578257
2015-12-14,21.0952921043
2015-12-15,21.4586799695
2015-12-16,21.7907412946
2015-12-17,21.2519248048
2015-12-18,21.3647003492
2015-12-21,21.7406188304
2015-12-22,22.210516932
2015-12-23,22.9435579703
2015-12-24,22.9623538944
2015-12-28,23.0187416666
2015-12-29,23.2756192954
2015-12-30,23.2944152195
2015-12-31,22.9686192024
2016-01-04,22.7242721896
2016-01-05,22.7618640377
2016-01-06,21.7719453705
2016-01-07,21.6403739021
2016-01-08,20.387312298
2016-01-11,19.6417406436
2016-01-12,19.7795774201
2016-01-13,19.4663120191
2016-01-14,20.1179040532
2016-01-15,19.3535364747
2016-01-19,18.6894138245
2016-01-20,18.3072300353
2016-01-21,17.2671889039
2016-01-22,17.4990053007
2016-01-25,16.5404131736
2016-01-26,17.3799644483
2016-01-27,16.8975357307
2016-01-28,16.7628316083
2016-01-29,18.200719799
2016-02-01,19.0528016897
2016-02-02,17.9250462461
2016-02-03,19.1217200779
2016-02-04,20.1680265173
2016-02-05,20.1868224414
2016-02-08,19.4008208079
2016-02-09,18.7937463755
2016-02-10,19.2921864358
2016-02-11,18.5509166025
2016-02-12,19.0940884631
2016-02-16,20.0206757546
2016-02-17,20.4296522144
2016-02-18,21.1581415332
2016-02-19,20.0270660118
2016-02-22,20.5957989011
2016-02-23,19.6436505808
2016-02-24,19.8609193251
2016-02-25,19.7586752101
2016-02-26,20.2507250132
2016-02-29,20.0398465262
2016-03-01,21.2348246194
2016-03-02,21.6821426222
2016-03-03,22.2061437113
2016-03-04,22.0655580532
2016-03-07,22.6726324856
2016-03-08,21.8802405949
2016-03-09,21.8610698234
2016-03-10,22.3339488549
2016-03-11,23.1135602313
2016-03-14,22.5959493994
2016-03-15,22.1230703679
2016-03-16,22.0399970245
2016-03-17,22.3211683406
2016-03-18,23.3691705186
2016-03-21,23.349999747
2016-03-22,23.6695126062
2016-03-23,22.2380949972
2016-03-24,21.2348246194
2016-03-28,21.4329225921
2016-03-29,21.5990692789
2016-03-30,21.8355087946
2016-03-31,22.0144359958
2016-04-01,21.5287764498
2016-04-04,21.4393128493
2016-04-05,20.9983851037
2016-04-06,21.5479472214
2016-04-07,21.1581415332
2016-04-08,21.2348246194
2016-04-11,22.3531196265
2016-04-12,22.3914611696
2016-04-13,21.6821426222
2016-04-14,17.3239872234
2016-04-15,16.3526681315
2016-04-18,16.474083018
2016-04-19,16.1865214448
2016-04-20,16.403790189
2016-04-21,16.2504240166
2016-04-22,16.1801311876
2016-04-25,16.7999861344
2016-04-26,17.2536943944
2016-04-27,17.4709631386
2016-04-28,17.1897918225
2016-04-29,13.9115898876
2016-05-02,13.087246711
2016-05-03,12.4226599639
2016-05-04,12.8763682239
2016-05-05,12.7869046234
2016-05-06,12.5888066507
2016-05-09,12.4501779461
2016-05-10,12.7076312546
2016-05-11,12.3577588097
2016-05-12,12.4039683779
2016-05-13,12.6020093845
2016-05-16,12.6482189527
2016-05-17,12.9617838797
2016-05-18,13.3611665763
2016-05-19,13.5460048491
2016-05-20,13.4733898134
2016-05-23,13.7308431219
2016-05-24,13.783654057
2016-05-25,14.1797360701
2016-05-26,14.2259456383
2016-05-27,14.298560674
2016-05-31,14.8926836937
2016-06-01,15.1897452036
2016-06-02,15.6782463531
2016-06-03,15.6056313174
2016-06-06,15.7706654895
2016-06-07,16.2723693728
2016-06-08,16.0083146974
2016-06-09,15.9356996617
2016-06-10,15.2755629731
2016-06-13,14.9719000964
2016-06-14,15.0247110315
2016-06-15,14.9950048805
2016-06-16,14.9785014633
2016-06-17,15.3283739082
2016-06-20,15.4670026128
2016-06-21,15.7508613889
2016-06-22,15.7574627557
2016-06-23,16.1601461358
2016-06-24,15.2887657069
2016-06-27,13.7770526901
2016-06-28,14.8728795931
2016-06-29,15.8102736908
2016-06-30,16.0809297331
2016-07-01,15.8630846259
2016-07-05,15.2887657069
2016-07-06,15.5264149148
2016-07-07,15.6650436194
2016-07-08,15.8498818921
2016-07-11,15.9026928272
2016-07-12,19.375011809
2016-07-13,19.6918774195
2016-07-14,19.2693899388
2016-07-15,19.0779502992
2016-07-18,19.9031211599
2016-07-19,19.7974992897
2016-07-20,20.1341690009
2016-07-21,20.6094674166
2016-07-22,20.8471166245
2016-07-25,20.7546974881
2016-07-26,21.4214355435
2016-07-27,21.1573808681
2016-07-28,21.5204560468
2016-07-29,21.1441781343
2016-08-01,21.4082328098
2016-08-02,20.2331895041
2016-08-03,20.2860004392
