# TWD=X | Yahoo (browser) | fetched 2026-08-11
date,value
2021-08-10,27.8262
2021-08-11,27.7915
2021-08-12,27.7965
2021-08-15,27.808
2021-08-16,27.7897
2021-08-17,27.8994
2021-08-18,27.8422
2021-08-19,28.018
2021-08-22,27.971
2021-08-23,27.9012
2021-08-24,27.8931
2021-08-25,27.8849
2021-08-26,27.9166
2021-08-29,27.873
2021-08-30,27.7292
2021-08-31,27.5687
2021-09-01,27.6716
2021-09-02,27.6266
2021-09-05,27.607
2021-09-06,27.5331
2021-09-07,27.5912
2021-09-08,27.6707
2021-09-09,27.6296
2021-09-12,27.6505
2021-09-13,27.6394
2021-09-14,27.6356
2021-09-15,27.6127
2021-09-16,27.693
2021-09-19,27.782
2021-09-20,27.766
2021-09-21,27.7186
2021-09-22,27.7039
2021-09-23,27.685
2021-09-26,27.727
2021-09-27,27.6542
2021-09-28,27.7381
2021-09-29,27.8124
2021-09-30,27.8366
2021-10-03,27.754
2021-10-04,27.8823
2021-10-05,27.871
2021-10-06,27.951
2021-10-07,27.9685
2021-10-10,28.05
2021-10-11,28.043
2021-10-12,28.1287
2021-10-13,27.9995
2021-10-14,27.9889
2021-10-17,28
2021-10-18,27.9492
2021-10-19,27.8263
2021-10-20,27.806
2021-10-21,27.8185
2021-10-24,27.837
2021-10-25,27.8062
2021-10-26,27.7963
2021-10-27,27.7625
2021-10-28,27.7233
2021-11-01,27.8167
2021-11-02,27.8011
2021-11-03,27.8585
2021-11-04,27.7895
2021-11-05,27.8741
2021-11-08,27.8301
2021-11-09,27.8012
2021-11-10,27.7313
2021-11-11,27.759
2021-11-12,27.8017
2021-11-15,27.7813
2021-11-16,27.7525
2021-11-17,27.8007
2021-11-18,27.7407
2021-11-19,27.8064
2021-11-22,27.793
2021-11-23,27.7695
2021-11-24,27.7514
2021-11-25,27.7677
2021-11-26,27.7647
2021-11-29,27.8539
2021-11-30,27.7456
2021-12-01,27.5787
2021-12-02,27.6045
2021-12-03,27.6787
2021-12-06,27.6572
2021-12-07,27.6592
2021-12-08,27.7426
2021-12-09,27.6307
2021-12-10,27.6856
2021-12-13,27.636
2021-12-14,27.7459
2021-12-15,27.7842
2021-12-16,27.7397
2021-12-17,27.7577
2021-12-20,27.8272
2021-12-21,27.8154
2021-12-22,27.7302
2021-12-23,27.711
2021-12-24,27.6247
2021-12-27,27.6793
2021-12-28,27.6837
2021-12-29,27.535
2021-12-30,27.6174
2021-12-31,27.6587
2022-01-03,27.7021
2022-01-04,27.6247
2022-01-05,27.5155
2022-01-06,27.5964
2022-01-07,27.62
2022-01-10,27.658
2022-01-11,27.5989
2022-01-12,27.627
2022-01-13,27.5986
2022-01-14,27.566
2022-01-17,27.538
2022-01-18,27.4237
2022-01-19,27.5162
2022-01-20,27.5476
2022-01-21,27.6157
2022-01-24,27.6912
2022-01-25,27.6639
2022-01-26,27.698
2022-01-27,27.6645
2022-01-28,27.7565
2022-01-31,27.827
2022-02-01,27.7704
2022-02-02,27.7423
2022-02-03,27.7508
2022-02-04,27.7439
2022-02-07,27.8
2022-02-08,27.826
2022-02-09,27.8052
2022-02-10,27.7807
2022-02-11,27.8264
2022-02-14,27.906
2022-02-15,27.8618
2022-02-16,27.8207
2022-02-17,27.8108
2022-02-18,27.8367
2022-02-21,27.87
2022-02-22,27.8124
2022-02-23,27.8374
2022-02-24,27.8727
2022-02-25,28.0672
2022-02-28,27.9628
2022-03-01,27.9756
2022-03-02,28.0468
2022-03-03,27.9705
2022-03-04,28.0505
2022-03-07,28.126
2022-03-08,28.2759
2022-03-09,28.3034
2022-03-10,28.268
