# XBI | Tiingo | fetched 2026-09-14
date,value
2015-01-02,61.4473145265
2015-01-05,61.6397348629
2015-01-06,60.1068948954
2015-01-07,62.5105184189
2015-01-08,63.8965971129
2015-01-09,63.9455175374
2015-01-12,64.5521308011
2015-01-13,64.0759720027
2015-01-14,65.0706873007
2015-01-15,62.6540183307
2015-01-16,64.5586535244
2015-01-20,65.272891722
2015-01-21,63.3943474214
2015-01-22,64.0792333643
2015-01-23,64.7673806689
2015-01-26,66.6002659066
2015-01-27,66.7502885417
2015-01-28,64.9630623668
2015-01-29,65.8827663473
2015-01-30,65.113085002
2015-02-02,64.0857560876
2015-02-03,63.8965971129
2015-02-04,62.598575183
2015-02-05,64.4184149741
2015-02-06,63.593290481
2015-02-09,63.273677041
2015-02-10,64.7086761595
2015-02-11,64.5162558231
2015-02-12,65.8925504322
2015-02-13,66.3360956143
2015-02-17,67.5851971197
2015-02-18,68.4559806757
2015-02-19,69.0430257697
2015-02-20,69.5844118007
2015-02-23,70.1649341714
2015-02-24,68.8082077321
2015-02-25,70.5660816523
2015-02-26,71.0618086205
2015-02-27,69.9986047281
2015-03-02,70.9313541552
2015-03-03,71.0324563658
2015-03-04,72.4217964214
2015-03-05,74.2188066812
2015-03-06,73.2893186158
2015-03-09,73.2469209146
2015-03-10,73.5110912068
2015-03-11,73.8731023481
2015-03-12,73.9383295807
2015-03-13,74.4992837816
2015-03-16,75.6081467368
2015-03-17,76.0321237491
2015-03-18,75.5396581425
2015-03-19,77.6138841411
2015-03-20,76.3502310923
2015-03-23,74.8255771147
2015-03-24,74.2672991058
2015-03-25,70.2679391003
2015-03-26,69.9839029203
2015-03-27,71.6326186777
2015-03-30,73.251951382
2015-03-31,73.6208719376
2015-04-01,72.0831588253
2015-04-02,71.8938013719
2015-04-06,71.6881200002
2015-04-07,72.0374518538
2015-04-08,74.1203838403
2015-04-09,73.849406795
2015-04-10,74.8876080046
2015-04-13,75.7723643813
2015-04-14,75.7103334914
2015-04-15,76.1053723165
2015-04-16,76.6636503254
2015-04-17,75.3446777195
2015-04-20,75.4981225524
2015-04-21,76.0531357776
2015-04-22,75.9486626999
2015-04-23,77.2839592242
2015-04-24,76.3502310923
2015-04-27,72.1321305804
2015-04-28,70.8980423502
2015-04-29,70.4409726353
2015-04-30,67.362281627
2015-05-01,69.5953936627
2015-05-04,70.5356513619
2015-05-05,68.537603751
2015-05-06,70.1536716716
2015-05-07,70.9763971584
2015-05-08,73.078917847
2015-05-11,73.6176071539
2015-05-12,73.7743167704
2015-05-13,73.2748048677
2015-05-14,73.8559363624
2015-05-15,73.8820546318
2015-05-18,75.3348833685
2015-05-19,75.4491507972
2015-05-20,76.637532056
2015-05-21,76.2131101779
2015-05-22,76.4285859006
2015-05-26,76.0727244797
2015-05-27,77.3361957631
2015-05-28,77.2121339833
2015-05-29,77.7573528575
2015-06-01,78.0413890375
2015-06-02,77.9369159598
2015-06-03,78.8151427692
2015-06-04,78.2503351929
2015-06-05,79.5823669335
2015-06-08,79.6509273907
2015-06-09,78.4658109156
2015-06-10,79.0469424103
2015-06-11,79.6313386887
2015-06-12,78.3580730543
2015-06-15,78.6486388016
2015-06-16,78.8314666876
2015-06-17,79.7880483052
2015-06-18,82.0440138267
2015-06-19,82.5689525176
2015-06-22,84.9367554892
2015-06-23,84.8190194298
2015-06-24,82.9810287254
2015-06-25,82.2811532614
2015-06-26,81.7546114404
2015-06-29,79.0237889525
2015-06-30,82.4937322575
2015-07-01,81.5060575373
2015-07-02,80.760395828
2015-07-06,81.8658066076
2015-07-07,82.1372536333
2015-07-08,79.1088205509
2015-07-09,80.7636662741
2015-07-10,82.6016569786
2015-07-13,84.7601514001
2015-07-14,86.5654376436
2015-07-15,86.6373874577
2015-07-16,88.0665724005
2015-07-17,88.6519822512
2015-07-20,88.6061960059
2015-07-21,87.1083316951
2015-07-22,87.4975147802
2015-07-23,86.6733623647
2015-07-24,83.5206523308
2015-07-27,82.3432917372
2015-07-28,84.68493114
2015-07-29,82.8207768668
2015-07-30,82.5656820715
2015-07-31,83.5402750073
2015-08-03,83.317884673
2015-08-04,83.4258093941
2015-08-05,83.9196467542
2015-08-06,79.5634125579
2015-08-07,77.5717108871
2015-08-10,78.3369952729
2015-08-11,76.659256427
2015-08-12,77.2250436012
2015-08-13,75.9462991787
2015-08-14,74.8212657226
2015-08-17,77.9118372808
2015-08-18,75.9986263162
2015-08-19,74.9357313358
2015-08-20,70.8836486262
2015-08-21,71.0439004848
2015-08-24,67.2567239088
2015-08-25,68.0939581087
2015-08-26,71.6194989972
2015-08-27,73.4411374712
2015-08-28,74.906297321
2015-08-31,72.6333372862
2015-09-01,70.4813837568
2015-09-02,73.5163577314
2015-09-03,71.3415110793
2015-09-04,71.5148447223
2015-09-08,74.8278066148
2015-09-09,72.8459162822
2015-09-10,74.7852908156
2015-09-11,76.0379477072
2015-09-14,75.792664005
2015-09-15,76.548137808
2015-09-16,75.8122867011
2015-09-17,78.2553123759
2015-09-18,77.9904452228
2015-09-21,73.7885430884
2015-09-22,72.099928212
2015-09-23,72.0213879852
2015-09-24,71.1378104336
2015-09-25,66.2683163713
2015-09-28,61.5068151209
2015-09-29,58.9248051646
2015-09-30,61.1042964585
2015-10-01,61.2908294972
2015-10-02,64.2851756444
2015-10-05,64.7956871186
2015-10-06,62.066414237
2015-10-07,63.1267072989
2015-10-08,62.4885679561
