# XLE | Tiingo | fetched 2026-09-24
date,value
2015-01-02,25.1804148237
2015-01-05,24.1387504861
2015-01-06,23.7841413499
2015-01-07,23.8347997979
2015-01-08,24.3698796553
2015-01-09,24.1767443221
2015-01-12,23.4801906617
2015-01-13,23.2933876346
2015-01-14,23.3662091537
2015-01-15,23.0685907715
2015-01-16,23.8189690329
2015-01-20,23.8474644099
2015-01-21,24.3318858192
2015-01-22,24.4458673273
2015-01-23,24.2717289122
2015-01-26,24.6200057424
2015-01-27,24.6041749774
2015-01-28,23.6353321588
2015-01-29,23.7144859839
2015-01-30,23.920285929
2015-02-02,24.6516672724
2015-02-03,25.3260578618
2015-02-04,24.9081256656
2015-02-05,25.2659009548
2015-02-06,25.2722332608
2015-02-09,25.2975624848
2015-02-10,25.2848978728
2015-02-11,25.1075933047
2015-02-12,25.4368732169
2015-02-13,25.9751192272
2015-02-17,26.0542730522
2015-02-18,25.7439900581
2015-02-19,25.623676244
2015-02-20,25.5001962769
2015-02-23,25.3957132279
2015-02-24,25.4653685939
2015-02-25,25.604679326
2015-02-26,25.1297563757
2015-02-27,25.0189410206
2015-03-02,24.8448026055
2015-03-03,24.9366210426
2015-03-04,24.9017933596
2015-03-05,24.7529841685
2015-03-06,24.3097227482
2015-03-09,24.1355843331
2015-03-10,23.7999721149
2015-03-11,23.869627481
2015-03-12,23.7176521369
2015-03-13,23.6289998528
2015-03-16,23.948781306
2015-03-17,23.856962869
2015-03-18,24.5503503764
2015-03-19,24.1609135571
2015-03-20,24.5139206199
2015-03-23,24.4278621286
2015-03-24,24.2653072006
2015-03-25,24.5808550021
2015-03-26,24.5521688383
2015-03-27,24.3513656919
2015-03-30,24.8740913428
2015-03-31,24.7274731725
2015-04-01,24.7210984694
2015-04-02,24.7720960939
2015-04-06,25.2183253081
2015-04-07,25.2342620658
2015-04-08,25.0302715678
2015-04-09,25.4318778607
2015-04-10,25.5434351642
2015-04-13,25.2884470418
2015-04-14,25.7442383106
2015-04-15,26.359397156
2015-04-16,26.2988374769
2015-04-17,26.1075963851
2015-04-20,26.2064042825
2015-04-21,25.9291046994
2015-04-22,26.101221682
2015-04-23,26.2797133677
2015-04-24,26.1299078458
2015-04-27,26.101221682
2015-04-28,26.2319030948
2015-04-29,26.4358935927
2015-04-30,26.3530224529
2015-05-01,26.413582132
2015-05-04,26.3466477499
2015-05-05,26.0213785262
2015-05-06,25.9195426448
2015-05-07,25.6390557101
2015-05-08,26.0597861121
2015-05-11,25.5689339765
2015-05-12,25.6868659831
2015-05-13,25.6199316009
2015-05-14,25.6103695464
2015-05-15,25.7123647953
2015-05-18,25.734676256
2015-05-19,25.3681308301
2015-05-20,25.415941103
2015-05-21,25.6549924678
2015-05-22,25.5625592734
2015-05-26,25.157765629
2015-05-27,25.1131427076
2015-05-28,25.0143348102
2015-05-29,24.9856486464
2015-06-01,24.9219016158
2015-06-02,25.0940185984
2015-06-03,24.9219016158
2015-06-04,24.5840423536
2015-06-05,24.7561593362
2015-06-08,24.6159158689
2015-06-09,24.6127285174
2015-06-10,24.9155269127
2015-06-11,24.8039696092
2015-06-12,24.526670026
2015-06-15,24.4692976985
2015-06-16,24.6605387903
2015-06-17,24.5999791112
2015-06-18,24.5840423536
2015-06-19,24.3573642875
2015-06-22,24.6557748893
2015-06-23,24.735992793
2015-06-24,24.5819744179
2015-06-25,24.3316945583
2015-06-26,24.411912462
2015-06-29,23.9498573365
2015-06-30,24.1167105763
2015-07-01,23.808673826
2015-07-02,23.9145614589
2015-07-06,23.6001072763
2015-07-07,23.8150912583
2015-07-08,23.3337838359
2015-07-09,23.4525063334
2015-07-10,23.5808549794
2015-07-13,23.7477082191
2015-07-14,23.917770175
2015-07-15,23.4974283595
2015-07-16,23.529515521
2015-07-17,23.2439397837
2015-07-20,22.9359030334
2015-07-21,22.9455291819
2015-07-22,22.7594236452
2015-07-23,22.7401713483
2015-07-24,22.3037859521
2015-07-27,21.9829143372
2015-07-28,22.6118227024
2015-07-29,22.9198594527
2015-07-30,22.7594236452
2015-07-31,22.2620726421
2015-08-03,21.7936000844
2015-08-04,21.7197996129
2015-08-05,21.5561550893
2015-08-06,21.8994877173
2015-08-07,21.5080243471
2015-08-10,22.194689603
2015-08-11,22.2364029129
2015-08-12,22.6407011477
2015-08-13,22.2973685198
2015-08-14,22.2492377775
2015-08-17,22.2973685198
2015-08-18,22.2139418999
2015-08-19,21.6010771154
2015-08-20,21.1133522608
2015-08-21,20.3753475465
2015-08-24,19.2811753397
2015-08-25,19.0020170347
2015-08-26,19.6694299937
2015-08-27,20.6288361223
2015-08-28,21.09730868
2015-08-31,21.3155013781
2015-09-01,20.5646617993
2015-09-02,20.7539760521
2015-09-03,20.8117329427
2015-09-04,20.4684003148
2015-09-08,20.7892719297
2015-09-09,20.3978085595
2015-09-10,20.516531057
2015-09-11,20.3336342365
2015-09-14,20.1571548483
2015-09-15,20.3817649788
2015-09-16,20.9593338856
2015-09-17,20.946499021
2015-09-18,20.4004114701
2015-09-21,20.5168005054
2015-09-22,20.3001875785
2015-09-23,20.038312249
2015-09-24,20.1256040255
2015-09-25,20.1644003706
2015-09-28,19.3593762096
