# XLF | Tiingo | fetched 2026-09-21
date,value
2015-01-02,16.2025902523
2015-01-05,15.8618968867
2015-01-06,15.6194804535
2015-01-07,15.7832753408
2015-01-08,16.0191399785
2015-01-09,15.8029307273
2015-01-12,15.6718948174
2015-01-13,15.6194804535
2015-01-14,15.3967194067
2015-01-15,15.2067173375
2015-01-16,15.3901676112
2015-01-20,15.3246496563
2015-01-21,15.3639604293
2015-01-22,15.7439645678
2015-01-23,15.573617885
2015-01-26,15.6522394309
2015-01-27,15.4818927481
2015-01-28,15.200165542
2015-01-29,15.3246496563
2015-01-30,15.0756814276
2015-02-02,15.3180978608
2015-02-03,15.573617885
2015-02-04,15.5343071121
2015-02-05,15.6915502039
2015-02-06,15.8160343182
2015-02-09,15.7374127723
2015-02-10,15.8618968867
2015-02-11,15.8618968867
2015-02-12,16.0191399785
2015-02-13,16.0060363875
2015-02-17,16.0584507515
2015-02-18,15.9601738191
2015-02-19,15.8946558641
2015-02-20,16.012588183
2015-02-23,15.9732774101
2015-02-24,16.051898956
2015-02-25,16.051898956
2015-02-26,16.012588183
2015-02-27,15.9536220236
2015-03-02,16.0715543424
2015-03-03,16.025691774
2015-03-04,15.9274148416
2015-03-05,15.9929327965
2015-03-06,15.8750004777
2015-03-09,15.9470702281
2015-03-10,15.6063768625
2015-03-11,15.7046537949
2015-03-12,16.0453471605
2015-03-13,15.9339666371
2015-03-16,16.1305205019
2015-03-17,16.0912097289
2015-03-18,16.1829348658
2015-03-19,16.0322435695
2015-03-20,16.24892455
2015-03-23,16.1568626545
2015-03-24,16.025345661
2015-03-25,15.7688875236
2015-03-26,15.7557358243
2015-03-27,15.7360082753
2015-03-30,15.9661630139
2015-03-31,15.8543735694
2015-04-01,15.8412218701
2015-04-02,15.9201320662
2015-04-06,15.9464354649
2015-04-07,15.8609494191
2015-04-08,15.9201320662
2015-04-09,15.9431475401
2015-04-10,15.9398596152
2015-04-13,15.9990422623
2015-04-14,15.9990422623
2015-04-15,16.0582249094
2015-04-16,16.0812403833
2015-04-17,15.8675252688
2015-04-20,15.9332837655
2015-04-21,15.8543735694
2015-04-22,15.9661630139
2015-04-23,15.9924664126
2015-04-24,15.9661630139
2015-04-27,15.9069803668
2015-04-28,15.9990422623
2015-04-29,15.9924664126
2015-04-30,15.8675252688
2015-05-01,16.005618112
2015-05-04,16.1634385042
2015-05-05,16.0187698113
2015-05-06,15.9398596152
2015-05-07,16.0516490597
2015-05-08,16.2818037984
2015-05-11,16.2226211513
2015-05-12,16.1634385042
2015-05-13,16.1700143539
2015-05-14,16.3146830468
2015-05-15,16.2423487003
2015-05-18,16.3344105958
2015-05-19,16.4264724913
2015-05-20,16.3804415435
2015-05-21,16.3409864455
2015-05-22,16.3475622951
2015-05-26,16.1634385042
2015-05-27,16.3409864455
2015-05-28,16.3212588964
2015-05-29,16.1765902036
2015-06-01,16.1897419029
