# ^DJI | Yahoo (browser) | fetched 2026-08-11
date,value
2021-08-11,35484.9688
2021-08-12,35499.8516
2021-08-13,35515.3789
2021-08-16,35625.3984
2021-08-17,35343.2813
2021-08-18,34960.6914
2021-08-19,34894.1211
2021-08-20,35120.0781
2021-08-23,35335.7109
2021-08-24,35366.2617
2021-08-25,35405.5
2021-08-26,35213.1211
2021-08-27,35455.8008
2021-08-30,35399.8398
2021-08-31,35360.7305
2021-09-01,35312.5313
2021-09-02,35443.8203
2021-09-03,35369.0898
2021-09-07,35100
2021-09-08,35031.0703
2021-09-09,34879.3789
2021-09-10,34607.7188
2021-09-13,34869.6289
2021-09-14,34577.5703
2021-09-15,34814.3906
2021-09-16,34751.3203
2021-09-17,34584.8789
2021-09-20,33970.4688
2021-09-21,33919.8398
2021-09-22,34258.3203
2021-09-23,34764.8203
2021-09-24,34798
2021-09-27,34869.3711
2021-09-28,34299.9883
2021-09-29,34390.7188
2021-09-30,33843.9219
2021-10-01,34326.4609
2021-10-04,34002.9219
2021-10-05,34314.6719
2021-10-06,34416.9883
2021-10-07,34754.9414
2021-10-08,34746.25
2021-10-11,34496.0586
2021-10-12,34378.3398
2021-10-13,34377.8086
2021-10-14,34912.5586
2021-10-15,35294.7617
2021-10-18,35258.6094
2021-10-19,35457.3086
2021-10-20,35609.3398
2021-10-21,35603.0781
2021-10-22,35677.0195
2021-10-25,35741.1484
2021-10-26,35756.8789
2021-10-27,35490.6914
2021-10-28,35730.4805
2021-10-29,35819.5586
2021-11-01,35913.8398
2021-11-02,36052.6289
2021-11-03,36157.5781
2021-11-04,36124.2305
2021-11-05,36327.9492
2021-11-08,36432.2188
2021-11-09,36319.9805
2021-11-10,36079.9414
2021-11-11,35921.2305
2021-11-12,36100.3086
2021-11-15,36087.4492
2021-11-16,36142.2188
2021-11-17,35931.0508
2021-11-18,35870.9492
2021-11-19,35601.9805
2021-11-22,35619.25
2021-11-23,35813.8008
2021-11-24,35804.3789
2021-11-26,34899.3398
2021-11-29,35135.9414
2021-11-30,34483.7188
