# ^SOX | Yahoo (browser) | fetched 2026-08-11
date,value
2021-08-11,3350.9299
2021-08-12,3312.96
2021-08-13,3335.04
2021-08-16,3322.6399
2021-08-17,3256.8201
2021-08-18,3208.8301
2021-08-19,3235.8701
2021-08-20,3256.5
2021-08-23,3342.01
2021-08-24,3345.3899
2021-08-25,3372.55
2021-08-26,3370.3899
2021-08-27,3436.45
2021-08-30,3446.4399
2021-08-31,3417.72
2021-09-01,3399.95
2021-09-02,3411.3201
2021-09-03,3430.8899
2021-09-07,3419.73
2021-09-08,3377.6799
2021-09-09,3390.8401
2021-09-10,3416.6599
2021-09-13,3449.6799
2021-09-14,3449.3899
2021-09-15,3465.76
2021-09-16,3473.6001
2021-09-17,3421.1599
2021-09-20,3338.23
2021-09-21,3345.03
2021-09-22,3412.02
2021-09-23,3457.45
2021-09-24,3453.9199
2021-09-27,3445.4399
2021-09-28,3314.3899
2021-09-29,3263.8401
2021-09-30,3258.0901
2021-10-01,3261.1799
2021-10-04,3180.0601
2021-10-05,3227.25
2021-10-06,3238.79
2021-10-07,3274.48
2021-10-08,3246.27
2021-10-11,3221.23
2021-10-12,3178.1499
2021-10-13,3192.75
2021-10-14,3291.24
2021-10-15,3314.4099
2021-10-18,3338.78
2021-10-19,3381.45
2021-10-20,3374.22
2021-10-21,3412.05
2021-10-22,3370.28
2021-10-25,3392.3899
2021-10-26,3392.96
2021-10-27,3360.29
2021-10-28,3438.8301
2021-10-29,3451.27
2021-11-01,3506.28
2021-11-02,3548.8601
2021-11-03,3590.1699
2021-11-04,3715.76
2021-11-05,3756.55
2021-11-08,3803.3301
2021-11-09,3800.5701
2021-11-10,3693.02
2021-11-11,3764.49
2021-11-12,3794.5
2021-11-15,3793.75
2021-11-16,3859.3999
2021-11-17,3831.4399
2021-11-18,3899.96
2021-11-19,3912.02
2021-11-22,3847.1201
2021-11-23,3834.4299
2021-11-24,3870.01
2021-11-26,3757.1299
2021-11-29,3910.54
2021-11-30,3833.22
2021-12-01,3810.75
2021-12-02,3810.8201
2021-12-03,3804.54
2021-12-06,3800.0701
2021-12-07,3988.75
2021-12-08,3964.4399
2021-12-09,3879.52
2021-12-10,3914.6699
