# ^STOXX50E | Yahoo (browser) | fetched 2026-08-11
date,value
2021-08-10,4187.8198
2021-08-11,4206.3301
2021-08-12,4226.3301
2021-08-13,4229.7002
2021-08-16,4202.4399
2021-08-17,4196.3999
2021-08-18,4189.4199
2021-08-19,4124.71
2021-08-20,4147.5
2021-08-23,4176.4199
2021-08-24,4178.0801
2021-08-25,4181.1201
2021-08-26,4169.8701
2021-08-27,4190.98
2021-08-30,4198.7998
2021-08-31,4196.4102
2021-09-01,4227.27
2021-09-02,4232.1001
2021-09-03,4201.98
2021-09-06,4246.1299
2021-09-07,4225.0098
2021-09-08,4177.1499
2021-09-09,4177.1099
2021-09-10,4170.3501
2021-09-13,4189.5298
2021-09-14,4191.6699
2021-09-15,4145.9399
2021-09-16,4169.8701
2021-09-17,4130.8398
2021-09-20,4043.6299
2021-09-21,4097.5098
2021-09-22,4150.1899
2021-09-23,4194.9199
2021-09-24,4158.5098
2021-09-27,4165.48
2021-09-28,4058.8201
2021-09-29,4080.22
2021-09-30,4048.0801
2021-10-01,4035.3
2021-10-04,3996.4099
2021-10-05,4065.4299
2021-10-06,4012.6499
2021-10-07,4098.3398
2021-10-08,4073.29
2021-10-11,4072.52
2021-10-12,4055.0901
2021-10-13,4083.28
2021-10-14,4149.0601
2021-10-15,4182.9102
2021-10-18,4151.3999
2021-10-19,4166.8301
2021-10-20,4172.1699
2021-10-21,4155.73
2021-10-22,4188.8101
2021-10-25,4188.3101
2021-10-26,4223.9702
2021-10-27,4220.8799
2021-10-28,4233.8701
2021-10-29,4250.5601
2021-11-01,4280.4702
2021-11-02,4296.2202
2021-11-03,4309.6099
2021-11-04,4333.3398
2021-11-05,4363.04
2021-11-08,4352.5298
2021-11-09,4344.6299
2021-11-10,4348.8198
2021-11-11,4358
2021-11-12,4370.3301
2021-11-15,4386.1899
2021-11-16,4401.4902
2021-11-17,4400.8101
2021-11-18,4383.7002
2021-11-19,4356.4702
2021-11-22,4338.6899
2021-11-23,4283.8198
2021-11-24,4276.25
2021-11-25,4293.2402
2021-11-26,4089.5801
2021-11-29,4109.5098
2021-11-30,4063.0601
2021-12-01,4179.1499
2021-12-02,4108.02
2021-12-03,4080.1499
2021-12-06,4137.1099
2021-12-07,4276.2002
2021-12-08,4233.0898
2021-12-09,4208.2998
2021-12-10,4199.1602
2021-12-13,4183.04
2021-12-14,4144.5098
2021-12-15,4159.6802
2021-12-16,4201.8701
2021-12-17,4161.3501
2021-12-20,4107.1299
2021-12-21,4174.9902
2021-12-22,4217.0601
2021-12-23,4265.8599
2021-12-27,4287.98
2021-12-28,4311.9302
2021-12-29,4284.8301
