# ^TWII | Yahoo (browser) | fetched 2026-08-12
date,value
2021-08-11,17227.1797
2021-08-12,17219.9395
2021-08-13,16982.1094
2021-08-16,16858.7695
2021-08-17,16661.3594
2021-08-18,16826.2695
2021-08-19,16375.4004
2021-08-20,16341.9404
2021-08-23,16741.8398
2021-08-24,16818.7305
2021-08-25,17045.8594
2021-08-26,17066.9609
2021-08-27,17209.9297
2021-08-30,17396.5195
2021-08-31,17490.2891
2021-09-01,17473.9902
2021-09-02,17319.7598
2021-09-03,17516.9199
2021-09-06,17495.3008
2021-09-07,17428.8691
2021-09-08,17270.4902
2021-09-09,17304.3301
2021-09-10,17474.5703
2021-09-13,17446.3105
2021-09-14,17434.9004
2021-09-15,17354
2021-09-16,17278.6992
2021-09-17,17276.7891
2021-09-22,16925.8203
2021-09-23,17078.2207
2021-09-24,17260.1895
2021-09-27,17313.7695
2021-09-28,17181.4395
2021-09-29,16855.4609
2021-09-30,16934.7695
2021-10-01,16570.8906
2021-10-04,16408.3496
2021-10-05,16460.75
2021-10-06,16393.1602
2021-10-07,16713.8594
2021-10-08,16640.4297
2021-10-12,16462.8398
2021-10-13,16347.9902
2021-10-14,16387.2793
2021-10-15,16781.1895
2021-10-18,16705.4609
2021-10-19,16900.6699
2021-10-20,16887.8203
2021-10-21,16889.5098
2021-10-22,16888.7402
2021-10-25,16894.2402
2021-10-26,17034.3398
2021-10-27,17074.5508
2021-10-28,17041.6309
2021-10-29,16987.4102
2021-11-01,17068.2402
2021-11-02,17065.9707
2021-11-03,17122.1602
2021-11-04,17078.8594
2021-11-05,17296.9004
2021-11-08,17415.3008
2021-11-09,17541.3594
2021-11-10,17559.6504
2021-11-11,17452.5195
2021-11-12,17518.1309
2021-11-15,17634.4707
2021-11-16,17693.1309
2021-11-17,17764.0391
2021-11-18,17841.3691
2021-11-19,17818.3105
2021-11-22,17803.5391
2021-11-23,17666.1191
2021-11-24,17642.5195
2021-11-25,17654.1895
2021-11-26,17369.3906
2021-11-29,17328.0898
2021-11-30,17427.7598
2021-12-01,17585.9902
2021-12-02,17724.8809
2021-12-03,17697.1406
2021-12-06,17688.2109
2021-12-07,17796.9199
2021-12-08,17832.4199
2021-12-09,17914.1191
2021-12-10,17826.2598
2021-12-13,17767.5996
2021-12-14,17599.3691
2021-12-15,17660.0996
2021-12-16,17785.7402
2021-12-17,17812.5898
2021-12-20,17669.1094
2021-12-21,17789.2695
2021-12-22,17826.8301
2021-12-23,17946.6602
2021-12-24,17961.6406
2021-12-27,18048.9395
2021-12-28,18196.8105
2021-12-29,18248.2793
2021-12-30,18218.8398
2022-01-03,18270.5098
2022-01-04,18526.3496
2022-01-05,18499.9609
2022-01-06,18367.9199
2022-01-07,18169.7598
2022-01-10,18239.3809
2022-01-11,18288.2109
2022-01-12,18375.4004
2022-01-13,18436.9297
2022-01-14,18403.3301
2022-01-17,18525.4395
2022-01-18,18378.6406
2022-01-19,18227.4609
2022-01-20,18218.2793
2022-01-21,17899.3008
2022-01-24,17989.0391
2022-01-25,17701.1191
2022-01-26,17674.4004
2022-02-07,17900.3008
2022-02-08,17966.5605
2022-02-09,18151.7598
2022-02-10,18338.0508
2022-02-11,18310.9395
2022-02-14,17997.6699
2022-02-15,17951.8105
2022-02-16,18231.4707
2022-02-17,18268.5703
2022-02-18,18232.3496
2022-02-21,18221.4902
2022-02-22,17969.2891
2022-02-23,18055.7305
2022-02-24,17594.5508
2022-02-25,17652.1797
2022-03-01,17898.25
2022-03-02,17867.5996
2022-03-03,17934.4004
2022-03-04,17736.5195
2022-03-07,17178.6895
2022-03-08,16825.25
2022-03-09,17015.3594
2022-03-10,17433.1992
2022-03-11,17264.7402
2022-03-14,17263.0391
2022-03-15,16926.0605
2022-03-16,16940.8301
2022-03-17,17448.2207
2022-03-18,17456.5195
2022-03-21,17560.3594
2022-03-22,17559.7109
2022-03-23,17731.3691
2022-03-24,17699.0605
2022-03-25,17676.9492
